"iso3c","year","aid_value"
"AFG",1946,0
"AFG",1947,0
"AFG",1948,0
"AFG",1949,0
"AFG",1950,0
"AFG",1951,0
"AFG",1952,0
"AFG",1953,0
"AFG",1954,0
"AFG",1955,0
"AFG",1956,0
"AFG",1957,0
"AFG",1958,0
"AFG",1959,0
"AFG",1960,0
"AFG",1961,0
"AFG",1962,0
"AFG",1963,0
"AFG",1964,28875000
"AFG",1965,0
"AFG",1966,0
"AFG",1967,0
"AFG",1968,0
"AFG",1969,35993080
"AFG",1970,72301040
"AFG",1971,33572700
"AFG",1972,1906380
"AFG",1973,327291330
"AFG",1974,215462928.133867
"AFG",1975,151895824.26643
"AFG",1976,430123100.279841
"AFG",1977,452036154.744486
"AFG",1978,381915074.329275
"AFG",1979,358151172.254313
"AFG",1980,2734874.4769882
"AFG",1981,1013898.71445212
"AFG",1982,803659.131349419
"AFG",1983,3636042.6932805
"AFG",1984,3049347.82051024
"AFG",1985,14171439.8586801
"AFG",1986,53155679.2841868
"AFG",1987,82216667.402706
"AFG",1988,135542115.341707
"AFG",1989,178779287.850118
"AFG",1990,172290690.808432
"AFG",1991,137367948.094204
"AFG",1992,153346393.398503
"AFG",1993,94257611.9883229
"AFG",1994,60389143.6002301
"AFG",1995,139458024.047505
"AFG",1996,150441989.006112
"AFG",1997,217978665.031987
"AFG",1998,191409267.959182
"AFG",1999,209077881.665971
"AFG",2000,196336787.976157
"AFG",2001,698554145.304382
"AFG",2002,4448707203.84511
"AFG",2003,3651498315.58446
"AFG",2004,4142055005.04575
"AFG",2005,4872048738.56662
"AFG",2006,4648113299.94848
"AFG",2007,5756469841.75863
"AFG",2008,7470044779.7538
"AFG",2009,7479716964.81936
"AFG",2010,9318133402.85514
"AFG",2011,7531882105.49158
"AFG",2012,7181787666.59802
"AFG",2013,7449735688.57363
"AFG",2014,7314285948.78138
"AFG",2015,7314285948.78138
"AFG",2016,7246561078.88526
"AFG",2017,7111111339.09301
"AFG",2018,6907936729.40464
"AFG",2019,6772486989.61239
"AGO",1973,57900
"AGO",1974,1016913.8283248
"AGO",1975,6934705.47072248
"AGO",1976,71561125.0340013
"AGO",1977,105102027.717394
"AGO",1978,108277971.010132
"AGO",1979,185796841.55447
"AGO",1980,478334745.847336
"AGO",1981,142774567.477901
"AGO",1982,190343290.623133
"AGO",1983,396318819.548692
"AGO",1984,196165548.422684
"AGO",1985,167114253.00347
"AGO",1986,309828851.240954
"AGO",1987,359070056.748522
"AGO",1988,596184994.764626
"AGO",1989,199399260.37118
"AGO",1990,662514792.59222
"AGO",1991,756894895.167394
"AGO",1992,880877748.113165
"AGO",1993,157982033.97146
"AGO",1994,318870519.833166
"AGO",1995,664672283.832242
"AGO",1996,627229035.191469
"AGO",1997,540179455.346156
"AGO",1998,696268540.359082
"AGO",1999,565099170.141499
"AGO",2000,434522904.583782
"AGO",2001,379011432.105284
"AGO",2002,579152733.10307
"AGO",2003,860349396.512098
"AGO",2004,1468500400.88681
"AGO",2005,701637895.806147
"AGO",2006,374896372.520418
"AGO",2007,557986184.605186
"AGO",2008,892266279.987645
"AGO",2009,990980300.255872
"AGO",2010,598739210.635335
"AGO",2011,395575818.975439
"AGO",2012,285185266.189534
"AGO",2013,491320556.196981
"AGO",2014,482387455.175218
"AGO",2015,482387455.175218
"AGO",2016,477920904.664337
"AGO",2017,468987803.642573
"AGO",2018,455588152.109928
"AGO",2019,446655051.088165
"ALB",1946,0
"ALB",1947,0
"ALB",1948,0
"ALB",1949,0
"ALB",1950,0
"ALB",1951,0
"ALB",1952,0
"ALB",1953,0
"ALB",1954,0
"ALB",1955,0
"ALB",1956,0
"ALB",1957,0
"ALB",1958,0
"ALB",1959,0
"ALB",1960,0
"ALB",1961,0
"ALB",1962,0
"ALB",1963,0
"ALB",1964,0
"ALB",1965,0
"ALB",1966,0
"ALB",1967,0
"ALB",1968,0
"ALB",1969,0
"ALB",1970,0
"ALB",1971,0
"ALB",1972,0
"ALB",1973,0
"ALB",1974,0
"ALB",1975,0
"ALB",1976,0
"ALB",1977,0
"ALB",1978,0
"ALB",1979,0
"ALB",1980,0
"ALB",1981,0
"ALB",1982,0
"ALB",1983,0
"ALB",1984,0
"ALB",1985,0
"ALB",1986,0
"ALB",1987,0
"ALB",1988,0
"ALB",1989,3362593.25044177
"ALB",1990,0
"ALB",1991,105123715.478414
"ALB",1992,240572301.747782
"ALB",1993,327319398.167198
"ALB",1994,279004776.274953
"ALB",1995,349059286.464792
"ALB",1996,346033203.968302
"ALB",1997,258243216.144011
"ALB",1998,584831154.471417
"ALB",1999,1048061181.09341
"ALB",2000,473660166.682053
"ALB",2001,433425310.003456
"ALB",2002,586328008.520012
"ALB",2003,640570644.657302
"ALB",2004,667241428.581778
"ALB",2005,601284364.74311
"ALB",2006,735323566.021553
"ALB",2007,591663986.772505
"ALB",2008,686376483.107368
"ALB",2009,355062408.59422
"ALB",2010,570680337.409809
"ALB",2011,604930040.515048
"ALB",2012,419843508.53744
"ALB",2013,854816259.501555
"ALB",2014,839274145.692436
"ALB",2015,839274145.692436
"ALB",2016,831503088.787876
"ALB",2017,815960974.978757
"ALB",2018,792647804.265078
"ALB",2019,777105690.455959
"ARE",1971,0
"ARE",1972,0
"ARE",1973,57900
"ARE",1974,0
"ARE",1975,0
"ARE",1976,0
"ARE",1977,3929689.74195844
"ARE",1978,59158300
"ARE",1979,0
"ARE",1980,205543.92092913
"ARE",1981,1811622.723232
"ARE",1982,811946.714131534
"ARE",1983,541052.63157773
"ARE",1984,12745202.020201
"ARE",1985,116503885.077347
"ARE",1986,0
"ARE",1987,164487593.19015
"ARE",1988,0
"ARE",1989,401700
"ARE",1990,0
"ARE",1991,0
"ARE",1992,0
"ARE",1993,20541200
"ARE",1994,10709721.4653546
"ARE",1995,1951978.36018272
"ARE",1996,1280100.75783402
"ARE",1997,1192526.07059442
"ARE",1998,7263825.11496475
"ARE",1999,1616367.3733763
"ARE",2000,505140.869082816
"ARE",2001,2093401.85009466
"ARE",2002,1695678.50046497
"ARE",2003,8104393.06706872
"ARE",2004,7737635.16315257
"ARE",2005,13100000
"ARE",2006,0
"ARE",2007,4049429.8825012
"ARE",2008,557084.06073362
"ARE",2009,0
"ARE",2010,0
"ARE",2011,0
"ARE",2012,0
"ARE",2013,0
"ARE",2014,0
"ARE",2015,0
"ARE",2016,0
"ARE",2017,0
"ARE",2018,0
"ARE",2019,0
"ARG",1946,0
"ARG",1947,0
"ARG",1948,0
"ARG",1949,0
"ARG",1950,0
"ARG",1951,0
"ARG",1952,0
"ARG",1953,0
"ARG",1954,0
"ARG",1955,0
"ARG",1956,0
"ARG",1957,0
"ARG",1958,0
"ARG",1959,0
"ARG",1960,0
"ARG",1961,414675000
"ARG",1962,804650000
"ARG",1963,0
"ARG",1964,0
"ARG",1965,0
"ARG",1966,0
"ARG",1967,117504000
"ARG",1968,1006950000
"ARG",1969,592450000
"ARG",1970,516530000
"ARG",1971,1414647990
"ARG",1972,995485320
"ARG",1973,116017704
"ARG",1974,463600099.387681
"ARG",1975,998271020.118264
"ARG",1976,1468585551.5248
"ARG",1977,2202737421.75052
"ARG",1978,1787452516.61901
"ARG",1979,2112207259.59933
"ARG",1980,2089483265.40559
"ARG",1981,2376525721.11096
"ARG",1982,2538116355.20636
"ARG",1983,482204385.16541
"ARG",1984,3963798585.63317
"ARG",1985,999779824.939687
"ARG",1986,2809465995.97692
"ARG",1987,4352040846.28482
"ARG",1988,5203501137.04342
"ARG",1989,2080766688.00818
"ARG",1990,1304720023.34694
"ARG",1991,4874571705.41233
"ARG",1992,9405489472.7557
"ARG",1993,6347769301.4455
"ARG",1994,5033117707.28113
"ARG",1995,10819467645.7651
"ARG",1996,9168635686.14193
"ARG",1997,5099365593.49671
"ARG",1998,16365507511.4684
"ARG",1999,4508635147.88053
"ARG",2000,4096363250.84239
"ARG",2001,46372149046.5318
"ARG",2002,423798757.343956
"ARG",2003,27671145723.8098
"ARG",2004,2500881033.65549
"ARG",2005,2497340820.92965
"ARG",2006,4392069211.29217
"ARG",2007,5033801193.65858
"ARG",2008,3143104875.75742
"ARG",2009,4191869657.40774
"ARG",2010,5334520015.21685
"ARG",2011,2699564236.87146
"ARG",2012,202713220.014734
"ARG",2013,1481589598.9993
"ARG",2014,1454651606.29022
"ARG",2015,1454651606.29022
"ARG",2016,1441182609.93568
"ARG",2017,1414244617.22661
"ARG",2018,1373837628.16299
"ARG",2019,1346899635.45391
"ARM",1991,0
"ARM",1992,686053.580629215
"ARM",1993,133597252.636689
"ARM",1994,336780148.409735
"ARM",1995,432065892.858647
"ARM",1996,486837297.725144
"ARM",1997,381705843.656864
"ARM",1998,484791657.629737
"ARM",1999,407090596.959925
"ARM",2000,380835749.256417
"ARM",2001,493167178.550181
"ARM",2002,293343117.354524
"ARM",2003,296252721.596707
"ARM",2004,426598566.627282
"ARM",2005,583808999.960425
"ARM",2006,680461266.299961
"ARM",2007,556671614.42712
"ARM",2008,500256719.547831
"ARM",2009,1118132683.31113
"ARM",2010,968739617.003627
"ARM",2011,418433984.534232
"ARM",2012,526468365.194224
"ARM",2013,745899510.393954
"ARM",2014,732337701.114064
"ARM",2015,732337701.114064
"ARM",2016,725556796.474119
"ARM",2017,711994987.194229
"ARM",2018,691652273.274394
"ARM",2019,678090463.994504
"ATG",1972,2621808
"ATG",1973,16500486.75
"ATG",1974,33401105.3876452
"ATG",1975,17146965.206692
"ATG",1976,38526208.6336394
"ATG",1977,13535931.8260844
"ATG",1978,4297518.34782738
"ATG",1979,29756230.1571227
"ATG",1980,14811874.7377977
"ATG",1981,5553210.1674532
"ATG",1982,6143680
"ATG",1983,52101058.0404177
"ATG",1984,2790255.17759945
"ATG",1985,10267833.2844574
"ATG",1986,1825045.05541878
"ATG",1987,2200182.0062715
"ATG",1988,8978525.21359774
"ATG",1989,9277902.66772243
"ATG",1990,6155082.80563665
"ATG",1991,18086840.5799671
"ATG",1992,7047859.52446265
"ATG",1993,19153023.8232643
"ATG",1994,4778120.41691372
"ATG",1995,1551768.61568971
"ATG",1996,14588165.3205907
"ATG",1997,44164904.2464496
"ATG",1998,19167999.803252
"ATG",1999,7286337.44547339
"ATG",2000,13206043.9181164
"ATG",2001,21088694.959859
"ATG",2002,7781448.36468217
"ATG",2003,10607426.8982644
"ATG",2004,12572457.2174992
"ATG",2005,4010234.83679786
"ATG",2006,627852.401885034
"ATG",2007,32475918.4931113
"ATG",2008,895925.489459224
"ATG",2009,60897986.0897689
"ATG",2010,77862361.0058463
"ATG",2011,2267071.70326406
"ATG",2012,2784454.29448559
"ATG",2013,22827449.4607221
"ATG",2014,22412404.9250727
