"iso3c","country","colony","colony_gbr","colony_fra","colony_esp","colony_prt","colony_nld","colony_ita","colony_bel","colony_usa","colony_other","colonizer"
"AFG","Afghanistan",0,0,0,0,0,0,0,0,0,0,"Not colonized"
"AGO","Angola",1,0,0,0,1,0,0,0,0,0,"Colony of PRT"
"ALB","Albania",0,0,0,0,0,0,0,0,0,0,"Not colonized"
"AND","Andorra",0,0,0,0,0,0,0,0,0,0,"Not colonized"
"ARE","United Arab Emirates",1,1,0,0,0,0,0,0,0,0,"Colony of GBR"
"ARG","Argentina",1,0,0,1,0,0,0,0,0,0,"Colony of ESP"
"ARM","Armenia",0,0,0,0,0,0,0,0,0,0,"Not colonized"
"ATG","Antigua & Barbuda",1,1,0,0,0,0,0,0,0,0,"Colony of GBR"
"AUS","Australia",1,1,0,0,0,0,0,0,0,0,"Colony of GBR"
"AUT","Austria",0,0,0,0,0,0,0,0,0,0,"Not colonized"
"AZE","Azerbaijan",0,0,0,0,0,0,0,0,0,0,"Not colonized"
"BDI","Burundi",1,0,0,0,0,0,0,1,0,0,"Colony of another country"
"BEL","Belgium",0,0,0,0,0,0,0,0,0,0,"Not colonized"
"BEN","Benin",1,0,1,0,0,0,0,0,0,0,"Colony of FRA"
"BFA","Burkina Faso",1,0,1,0,0,0,0,0,0,0,"Colony of FRA"
"BGD","Bangladesh",1,1,0,0,0,0,0,0,0,0,"Colony of GBR"
"BGR","Bulgaria",0,0,0,0,0,0,0,0,0,0,"Not colonized"
"BHR","Bahrain",1,1,0,0,0,0,0,0,0,0,"Colony of GBR"
"BHS","Bahamas",1,1,0,0,0,0,0,0,0,0,"Colony of GBR"
"BIH","Bosnia & Herzegovina",0,0,0,0,0,0,0,0,0,0,"Not colonized"
"BLR","Belarus",0,0,0,0,0,0,0,0,0,0,"Not colonized"
"BLZ","Belize",1,1,0,0,0,0,0,0,0,0,"Colony of GBR"
"BOL","Bolivia",1,0,0,1,0,0,0,0,0,0,"Colony of ESP"
"BRA","Brazil",1,0,0,0,1,0,0,0,0,0,"Colony of PRT"
"BRB","Barbados",1,1,0,0,0,0,0,0,0,0,"Colony of GBR"
"BRD","West Germany",0,0,0,0,0,0,0,0,0,0,"Not colonized"
"BRN","Brunei",1,1,0,0,0,0,0,0,0,0,"Colony of GBR"
"BTN","Bhutan",0,0,0,0,0,0,0,0,0,0,"Not colonized"
"BWA","Botswana",1,1,0,0,0,0,0,0,0,0,"Colony of GBR"
"CAF","Central African Republic",1,0,1,0,0,0,0,0,0,0,"Colony of FRA"
"CAN","Canada",1,1,0,0,0,0,0,0,0,0,"Colony of GBR"
"CHE","Switzerland",0,0,0,0,0,0,0,0,0,0,"Not colonized"
"CHL","Chile",1,0,0,1,0,0,0,0,0,0,"Colony of ESP"
"CHN","China",0,0,0,0,0,0,0,0,0,0,"Not colonized"
"CIV","Côte d’Ivoire",1,0,1,0,0,0,0,0,0,0,"Colony of FRA"
"CMR","Cameroon",1,0,1,0,0,0,0,0,0,0,"Colony of FRA"
"COD","Congo - Kinshasa",1,0,0,0,0,0,0,1,0,0,"Colony of another country"
"COG","Congo - Brazzaville",1,0,1,0,0,0,0,0,0,0,"Colony of FRA"
"COL","Colombia",1,0,0,1,0,0,0,0,0,0,"Colony of ESP"
