"confid","iso3c","peace_start_year","issue_l3_autonomy","issue_l3_foreign_policy_reform","issue_l3_civil_rights","issue_l3_language_rights","issue_l3_education_system_culture","issue_l3_economic_reforms","issue_l3_public_services","issue_l3_revenue_from_natural_resources","issue_l3_attrocities_and_abuses","issue_l3_collective_targeting_ethnic","issue_l3_accountability_prosecution_investigation","issue_l3_cps_democracy","issue_l3_ifi_intl_investigation_court_tribunal","issue_l3_opposition_to_negotiations","issue_l3_revenge_vengance","issue_l3_oust_full_executive","issue_l3_cultural_rights","issue_l3_ifi_political_support","issue_l3_military_conduct","issue_l3_opposition_to_elections","issue_l3_ifi_use_of_foreign_influence","issue_l3_federalism","issue_l3_human_rights","issue_l3_ifi_sanctions","issue_l3_gender_relations","issue_l3_cps_socialism","issue_l3_oust_head_of_executive","issue_l3_reform_executive_structure","issue_l3_oust_parliament","issue_l3_reform_parliament","issue_l3_constitutional_issues","issue_l3_corruption","issue_l3_hold_elections","issue_l3_freedom_of_expression","issue_l3_freedom_of_association","issue_l3_freedom_of_movement","issue_l3_restrictions_on_freedom_of_expression","issue_l3_religious_freedom","issue_l3_restriction_on_religious_rights","issue_l3_labor_rights","issue_l3_change_economic_system","issue_l3_land_reforms","issue_l3_ifi_support_from_diasporas_foreign_fighters","issue_l3_dfi_withdrawal_of_military_intervention","issue_l3_dfi_withdrawal_of_military_support","issue_l3_dfi_removal_of_foreign_influence","issue_l3_basic_needs","issue_l3_dfi_withdrawal_of_political_support","issue_l3_ifi_foreign_mediator","issue_l3_call_for_negotiations","issue_l3_structure_of_negotiations","issue_l3_dfi_withdrawal_of_financial_support","issue_l3_law_and_order","issue_l3_water_resources","issue_l3_protection_of_natural_resources_environment","issue_l3_ifi_recognition","issue_l3_ifi_military_intervention_foreign_forces","issue_l3_electoral_fraud","issue_l3_compensation_restoration","issue_l3_release_of_prisoners","issue_l3_peace_agreement_implementation","issue_l3_dfi_withdrawal_of_sanctions","issue_l3_dfi_removal_of_foreigners","issue_l3_amnesties","issue_l3_recognition_of_wrongdoing","issue_l3_executive_power_sharing","issue_l3_reform_judicial_system","issue_l3_restructure_military_forces","issue_l3_rule_of_law","issue_l3_restriction_on_civil_rights","issue_l3_call_for_ceasefire","issue_l3_independence","issue_l3_change_judicial_system","issue_l3_citizenship_reform","issue_l3_protection_of_cultural_heritage","issue_l3_collective_targeting_religious","issue_l3_ifi_humanitarian_aid","issue_l3_collective_targeting_political","issue_l3_national_dialogue","issue_l3_ifi_military_support","issue_l3_ifi_financial_support","issue_l3_ifi_intal_monitoring","issue_l3_recognition_as_political_party","issue_l3_nonrefoulement_of_refugees","issue_l3_return_of_refugees","issue_l3_ddr_issues","issue_l3_call_for_implementaion_of_ceasefire","issue_l3_collective_targeting_other_group","issue_l3_electoral_reform","issue_l3_opposition_to_peace_agreement","issue_l3_bureaucratic_setup","issue_l3_cps_other","issue_l3_restructure_police_forces","issue_l3_childrens_rights","issue_l3_change_of_admin_divisions","issue_l3_call_for_collective_targeting_religious","issue_l3_cps_islamic","issue_l3_call_for_collective_targeting_political","issue_l3_call_for_collective_targeting_othergroup","issue_l3_blasphemy","issue_l3_call_for_collective_targeting_ethnic","issue_l3_call_for_truth_and_reconciliation_processes","issue_l3_decentralization","issue_l3_disband_paramilitary_forces","issue_l3_oust_local_executive","issue_l3_education_system_increase_religion","issue_l3_executive_power_sharing_interim","issue_l3_restriction_of_gender_rights","issue_l3_destruction_of_cultural_heritage","issue_l3_parliamentary_power_sharing","issue_l3_confederation_union","issue_l3_security_sector_power_sharing","issue_l3_referendum","issue_l3_irredentism","issue_l3_dfi_removal_of_foreign_mediator","issue_l3_climate_change","issue_l3_dfi_withdrawal_of_intl_monitoring","issue_l3_dfi_withdrawal_of_humanitarian_aid","issue_l3_unification_of_states","issue_l3_restrictions_on_cultural_rights","issue_l3_none_recorded","issue_l2_subcategory_separatism","issue_l2_subcategory_unification","issue_l2_subcategory_selfrule","issue_l2_admin_arrangements","issue_l1_territory","issue_l2_change_political_system","issue_l2_executive","issue_l2_parliament","issue_l2_judicial","issue_l2_security_sector","issue_l2_bureaucratic","issue_l1_state_structure","issue_l2_quality_of_governance","issue_l2_elections","issue_l1_governance","issue_l2_civil_rights_and_freedoms","issue_l2_religious_rights_and_freedoms","issue_l2_cultural_rights_and_freedoms","issue_l2_gender_rights_and_freedoms","issue_l2_labor_rights_and_freedoms","issue_l2_childrens_rights_and_freedoms","issue_l2_referendums","issue_l1_political_rights","issue_l2_state_distribution_systems","issue_l2_natural_resources","issue_l1_distribution_of_resources","issue_l2_ifi","issue_l2_dfi","issue_l1_foreign_involvement","issue_l2_attrocities_and_abuses","issue_l2_collective_targeting","issue_l2_call_for_collective_targeting","issue_l2_military_conduct","issue_l2_revenge","issue_l1_violent_targeting","issue_l2_return_of_refugees","issue_l2_release_of_prisoners","issue_l1_refugees_prisoners","issue_l2_negotiations","issue_l2_ceasefires","issue_l2_peace_agreement","issue_l1_negotiations","issue_l2_truth_reconciliation","issue_l2_liability","issue_l1_justice"
205,"IRN",1947,0,0,1,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,NA,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,1
205,"IRN",1969,0,0,1,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,NA,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,1
205,"IRN",1991,1,0,1,0,0,0,0,0,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,NA,0,0,1,0,1,1,0,0,0,1,1,0,0,0,1,1,0,1,0,1,1
205,"IRN",1994,1,0,1,1,0,0,0,0,1,1,1,1,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,NA,0,0,1,0,1,1,1,0,1,0,1,0,0,0,0,1,0,1,0,1,1
205,"IRN",1997,1,0,0,0,0,0,0,0,1,1,1,1,0,0,0,1,0,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,1,NA,0,0,1,0,1,1,1,0,0,0,1,0,0,0,0,1,0,1,0,1,1
205,"IRN",2019,1,0,1,0,0,0,0,1,1,1,0,1,0,0,0,1,1,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,1,0,1,1,1,0,1,1,0,0,0,1,NA,1,1,1,0,1,1,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0
209,"PHL",1955,0,0,0,0,0,1,1,0,1,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,1,1,1,1,0,0,0,0,1,0,0,1,1,1,1,1,1,1,1,0,0,0,0,1,0,0,0,0,1,0,1,0,1,1
209,"PHL",1969,0,1,1,0,0,1,1,1,1,0,1,1,0,0,1,1,1,1,1,0,0,0,1,0,1,1,1,1,0,0,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,0,0,1,1,1,0,1,1,1,1,1,1,0,1,1
220,"PRY",1946,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,1,0,1,1,1,0,0,0,0,0,1,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
220,"PRY",1948,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,1,0,1,1,1,0,0,0,0,0,1,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
