"confid","conf_name"
"11342","Country vs. GNLA"
"11344","Country vs. Republic of South Sudan"
"11345","Country vs. SSDM/A, SSLM/A, SPLM/A - IO, SSDM/A - Cobra Faction, NAS"
"11346","Country vs. Forces of Muammar Gaddafi, NTC, ASL, Forces of the House of Representatives, Zintan Military Council, Forces of Khalifa al-Ghawil, PFLL"
"11347","Country vs. AQIM, Ansar Dine, Military faction (Red Berets), MUJAO, Signed-in-Blood Battalion, al-Murabitun, JNIM"
"11349","Country vs. ETIM"
"11350","Country vs. PBCP, PBCP-J"
"11447","Country vs. IGLF"
"11475","Country vs. NSCN-K"
"11487","Country vs. Sultanate of Sulu"
"11884","Country vs. CPI"
"13042","Country vs. PYD"
"13219","Country vs. Maidan"
"13246","Country vs. DPR"
"13247","Country vs. LPR"
"13306","Country vs. United Armed Forces of Novorossiya, DPR, LPR"
"13588","Country vs. IS"
"13604","Country vs. IS"
"13611","Country vs. FLM"
"13637","Country vs. IS"
"13638","Country vs. IS"
"13639","Country vs. IS"
"13640","Country vs. IS"
"13641","Country vs. IS"
"13645","Country vs. IS"
"13646","Country vs. Al-Shabaab"
"13648","Country vs. IS"
"13653","Country vs. UNLFW"
"13674","Country vs. IS"
"13675","Country vs. IS"
"13694","Country vs. IS"
"13721","Country vs. IS"
"13809","Country vs. SDF"
"13840","Country vs. IS"
"13886","Country vs. IS"
"13902","Country vs. IS"
"13936","Country vs. IS"
"14074","Country vs. Republic of Somaliland"
"14113","Country vs. IS"
"14129","Country vs. Ambazonia insurgents"
"14197","Country vs. IS"
"14268","Country vs. IS"
"14275","Country vs. IS"
"14333","Country vs. IS"
"14845","Country vs. IS"
"14935","Country vs. Military faction (forces of Asaminew Tsige)"
"200","Country vs. Popular Revolutionary Movement, MNR, ELN"
"202","Country vs. PLA"
"203","Country vs. DSE"
"205","Country vs. KDPI"
"206","Country vs. Republic of Azerbaijan"
"209","Country vs. Huk, CPP, Military faction (forces of Honasan, Abenina & Zumel)"
"210","Country vs. Forest Brothers"
"211","Country vs. LNPA, LTS(p)A"
"212","Country vs. BDPS"
"213","Country vs. UPA"
"217","Country vs. Taiwanese insurgents"
"220","Country vs. Opposition coalition (Febreristas, Liberals and Communists), Military faction (forces of Alfredo Stroessner), Military faction (forces of Andres Rodriguez)"
"221","Country vs. KNUP, KNU, God's Army, DKBA 5"
"222","Country vs. CPB, CPB-RF, PVO - ""White Band"" faction, ABSDF, PSLF"
"223","Country vs. APLP, Mujahid Party, ANLP, CPA, RPF, ALP, RSO, ARSA, ULA"
"224","Country vs. MFL-MUF, MPF, NMSP, BMA"
"225","Country vs. National Liberation Army"
"227","Country vs. CPI, CPI-ML, PWG, MCC, CPI-ML-J, CPI-Maoist"
"230","Country vs. Opposition coalition, Royalists, NDF, AQAP, Ansarallah, Forces of Hadi"
"231","Country vs. PNDF, KIO"
"233","Country vs. Military faction (Guatemala), Forces of Carlos Castillo Armas, FAR I, FAR II, EGP, ORPA, URNG"
"234","Country vs. Palestinian insurgents, Non PLO groups, PLO, Rejectionist Front, PFLP, PFLP-GC, Fatah, Hamas, PIJ, PNA, AMB, PRC"
"236","Country vs. Tibet"
"237","Country vs. Republic of South Moluccas"
"240","Country vs. Military faction (navy), CPT"
"242","Country vs. M-26-7, Cuban Revolutionary Council"
"243","Country vs. Darul Islam, Permesta Movement, PRRI"
"247","Country vs. Military faction (forces of Eduardo A. Lonardi Doucet), Military faction (forces of Samuel Toranzo Calderón), Military faction (colorados), ERP, Montoneros"
"249","Country vs. FNL"
"251","Country vs. NNC, NSCN-IM"
"253","Country vs. KNPP"
"258","Country vs. State of Oman/Free Oman"
"259","Country vs. Military faction (free Officers Movement), Military faction (forces of Abdul Wahab al-Shawaf), Military faction (forces of Abd as-Salam Arif), NCRC, SCIRI, al-Mahdi Army, Ansar al-Islam, IS, RJF"
"260","Country vs. Independent Nasserite Movement, NSF, LAA, Amal, NUF, Lebanese Forces - Hobeika faction, Forces of Michel Aoun, Lebanese Forces"
"261","Country vs. CPM"
"262","Country vs. Pathet Lao, Neutralists, LRM"
"264","Country vs. NSH, SSIA, SNUF, SSA, SSNLO, SURA, SSRA, TRC, MTA, RCSS, SSPP"
"265","Country vs. State of Katanga, Kata Katanga"
"266","Country vs. Independent Mining State of South Kasai"
"267","Country vs. Military faction (forces of Mengistu Neway), EPRP, TPLF, EDU, EPDM, EPRDF, Military faction (forces of Amsha Desta and Merid Negusie), Forces of Harar garrison"
"269","Country vs. NC, CPN-M"
"270","Country vs. OAS"
"271","Country vs. KDP, PUK, KDP-QM"
"275","Country vs. ELF, EPLF"
