"confid","iso3c","country","start_year","end_year","years","length","conflict","group_id","ucdp_region","intensity","initial_start_date","episode_start_date","end_date","episode_length_in_months","episode_length_in_years","total_conflict_length_in_months"
"11342","IND","India",1946,2011,"1946–2011",66,0,1,"Asia",0,1997-05-29,NA,NA,NA,65,NA
"11342","IND","India",2012,2014,"2012–2014",3,1,2,"Asia",1,1997-05-29,2012-11-15,2014-11-27,24.4,2,209.935483870968
"11342","IND","India",2015,2019,"2015–2019",5,0,3,"Asia",0,1997-05-29,NA,NA,NA,4,NA
"11344","SDN","Sudan",1946,2010,"1946–2010",65,0,1,"Africa",0,2011-05-01,NA,NA,NA,64,NA
"11344","SDN","Sudan",2011,2011,"2011–2011",1,1,2,"Africa",1,2011-05-01,2011-05-19,2011-06-15,0.870967741935484,0,1.46666666666667
"11344","SDN","Sudan",2012,2019,"2012–2019",8,0,3,"Africa",0,2011-05-01,NA,NA,NA,7,NA
"11345","SSD","South Sudan",1946,2010,"1946–2010",65,0,1,"Africa",0,2011-08-20,NA,NA,NA,64,NA
"11345","SSD","South Sudan",2011,2019,"2011–2019",9,1,2,"Africa",2,2011-08-20,2011-08-20,NA,NA,8,NA
"11346","LBY","Libya",1946,2010,"1946–2010",65,0,1,"Africa",0,2011-02-28,NA,NA,NA,64,NA
"11346","LBY","Libya",2011,2019,"2011–2019",9,1,2,"Africa",2,2011-02-28,2011-03-04,2017-11-12,80.2666666666667,8,80.4838709677419
"11347","MLI","Mali",1946,2008,"1946–2008",63,0,1,"Africa",0,2009-06-10,NA,NA,NA,62,NA
"11347","MLI","Mali",2009,2009,"2009–2009",1,1,2,"Africa",1,2009-06-10,2009-06-16,2009-07-16,1,0,1.19354838709677
"11347","MLI","Mali",2010,2011,"2010–2011",2,0,3,"Africa",0,2009-06-10,NA,NA,NA,1,NA
"11347","MLI","Mali",2012,2019,"2012–2019",8,1,4,"Africa",1,2009-06-10,2012-01-24,NA,NA,7,NA
"11349","CHN","China",1946,2007,"1946–2007",62,0,1,"Asia",0,1990-04-05,NA,NA,NA,61,NA
"11349","CHN","China",2008,2008,"2008–2008",1,1,2,"Asia",1,1990-04-05,2008-08-10,2008-08-29,0.612903225806452,0,220.774193548387
"11349","CHN","China",2009,2019,"2009–2019",11,0,3,"Asia",0,1990-04-05,NA,NA,NA,10,NA
"11350","BGD","Bangladesh",1946,2004,"1946–2004",59,0,1,"Asia",0,1994-04-24,NA,NA,NA,58,NA
"11350","BGD","Bangladesh",2005,2006,"2005–2006",2,1,2,"Asia",1,1994-04-24,2005-02-08,2006-12-22,22.4516129032258,1,151.933333333333
"11350","BGD","Bangladesh",2007,2019,"2007–2019",13,0,3,"Asia",0,1994-04-24,NA,NA,NA,12,NA
"11447","ETH","Ethiopia",1946,1990,"1946–1990",45,0,1,"Africa",0,1991-10-10,NA,NA,NA,44,NA
"11447","ETH","Ethiopia",1991,1991,"1991–1991",1,1,2,"Africa",1,1991-10-10,1991-10-10,1991-10-10,0,0,0
"11447","ETH","Ethiopia",1992,2019,"1992–2019",28,0,3,"Africa",0,1991-10-10,NA,NA,NA,27,NA
"11475","MMR","Myanmar (Burma)",1946,1990,"1946–1990",45,0,1,"Asia",0,1991-12-31,NA,NA,NA,44,NA
"11475","MMR","Myanmar (Burma)",1991,1991,"1991–1991",1,1,2,"Asia",1,1991-12-31,1991-12-31,1991-12-31,0,0,0
"11475","MMR","Myanmar (Burma)",1992,1994,"1992–1994",3,0,3,"Asia",0,1991-12-31,NA,NA,NA,2,NA
"11475","MMR","Myanmar (Burma)",1995,1995,"1995–1995",1,1,4,"Asia",1,1991-12-31,1995-04-17,1995-05-03,0.533333333333333,0,40.0967741935484
"11475","MMR","Myanmar (Burma)",1996,1999,"1996–1999",4,0,5,"Asia",0,1991-12-31,NA,NA,NA,3,NA
"11475","MMR","Myanmar (Burma)",2000,2001,"2000–2001",2,1,6,"Asia",1,1991-12-31,2000-02-28,2001-05-18,14.6666666666667,1,112.58064516129
