"","iso3c","WEOG","Central America","Carribean","South America","Eastern Europe","Middle East","North Africa","East Africa","West Africa","Central Africa","Southern Africa","Central Asia","South Asia","East Asia","Southeast Asia"
"1","ABW",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"2","AFG",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"3","AGO",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"4","AIA",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"5","ALB",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"6","AND",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"7","ANT",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"8","ARE",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"9","ARG",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"10","ARM",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"11","ATG",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"12","AUS",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"13","AUT",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"14","AZE",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"15","BDI",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"16","BEL",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"17","BEN",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"18","BFA",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"19","BGD",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"20","BGR",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"21","BHR",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"22","BHS",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"23","BIH",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"24","BLR",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"25","BLZ",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
