"iso3c","country","region1","region2"
"ABW","Aruba","Americas","Caribbean"
"AFG","Afghanistan","Asia","South Asia"
"AGO","Angola","SSA","Southern Africa"
"AIA","Anguilla","Americas","Caribbean"
"AND","Andorra","Europe","WEOG"
"ANT","Netherlands Antilles","Americas","Caribbean"
"ARE","United Arab Emirates","MENA","Middle East"
"ARG","Argentina","Americas","South America"
"ARM","Armenia","Europe","Eastern Europe"
"ATG","Antigua & Barbuda","Americas","Caribbean"
"AUS","Australia","Asia","WEOG"
"AUT","Austria","Europe","WEOG"
"AZE","Azerbaijan","Europe","Eastern Europe"
"BDI","Burundi","SSA","Central Africa"
"BEL","Belgium","Europe","WEOG"
"BEN","Benin","SSA","West Africa"
"BFA","Burkina Faso","SSA","West Africa"
"BGD","Bangladesh","Asia","South Asia"
"BGR","Bulgaria","Europe","Eastern Europe"
"BHR","Bahrain","MENA","Middle East"
"BHS","Bahamas","Americas","Caribbean"
"BIH","Bosnia & Herzegovina","Europe","Eastern Europe"
"BLR","Belarus","Europe","Eastern Europe"
"BLZ","Belize","Americas","Central America"
"BOL","Bolivia","Americas","South America"
"BRA","Brazil","Americas","South America"
"BRB","Barbados","Americas","Caribbean"
"BRD","Germany West","Europe","WEOG"
"BRN","Brunei","Asia","Southeast Asia"
"BTN","Bhutan","Asia","South Asia"
"BWA","Botswana","SSA","Southern Africa"
"CAF","Central African Republic","SSA","Central Africa"
"CAN","Canada","Americas","WEOG"
"CHE","Switzerland","Europe","WEOG"
"CHL","Chile","Americas","South America"
"CHN","China","Asia","East Asia"
"CIV","Côte d’Ivoire","SSA","West Africa"
"CMR","Cameroon","SSA","Central Africa"
"COD","Congo - Kinshasa","SSA","Central Africa"
"COG","Congo - Brazzaville","SSA","Central Africa"
"COL","Colombia","Americas","South America"
"COM","Comoros","SSA","East Africa"
"CPV","Cape Verde","SSA","West Africa"
"CRI","Costa Rica","Americas","Central America"
"CUB","Cuba","Americas","Caribbean"
"CYP","Cyprus","Europe","Eastern Europe"
"CZE","Czechia","Europe","Eastern Europe"
"DDR","Germany East","Europe","Eastern Europe"
"DEU","Germany","Europe","WEOG"
"DJI","Djibouti","SSA","East Africa"
"DMA","Dominica","Americas","Caribbean"
"DNK","Denmark","Europe","WEOG"
"DOM","Dominican Republic","Americas","Caribbean"
"DZA","Algeria","MENA","North Africa"
"ECU","Ecuador","Americas","South America"
"EGY","Egypt","MENA","North Africa"
"ERI","Eritrea","SSA","East Africa"
"ESH","Western Sahara","MENA","North Africa"
"ESP","Spain","Europe","WEOG"
"EST","Estonia","Europe","Eastern Europe"
"ETH","Ethiopia","SSA","East Africa"
"FIN","Finland","Europe","WEOG"
"FJI","Fiji","Asia","Southeast Asia"
"FRA","France","Europe","WEOG"
"FSM","Micronesia (Federated States of)","Asia","Southeast Asia"
"GAB","Gabon","SSA","Central Africa"
"GBR","United Kingdom","Europe","WEOG"
"GEO","Georgia","Europe","Eastern Europe"
"GHA","Ghana","SSA","West Africa"
"GIN","Guinea","SSA","West Africa"
"GMB","Gambia","SSA","West Africa"
"GNB","Guinea-Bissau","SSA","West Africa"
"GNQ","Equatorial Guinea","SSA","Central Africa"
"GRC","Greece","Europe","WEOG"
"GRD","Grenada","Americas","Caribbean"
"GTM","Guatemala","Americas","Central America"
"GUF","French Guiana","Americas","South America"
"GUY","Guyana","Americas","South America"
"HKG","Hong Kong SAR China","Asia","East Asia"
"HND","Honduras","Americas","Central America"
"HRV","Croatia","Europe","Eastern Europe"
"HTI","Haiti","Americas","Caribbean"
"HUN","Hungary","Europe","Eastern Europe"
"IDN","Indonesia","Asia","Southeast Asia"
"IND","India","Asia","South Asia"
"IRL","Ireland","Europe","WEOG"
"IRN","Iran","MENA","Middle East"
"IRQ","Iraq","MENA","Middle East"
"ISL","Iceland","Europe","WEOG"
"ISR","Israel","MENA","Middle East"
"ITA","Italy","Europe","WEOG"
"JAM","Jamaica","Americas","Caribbean"
"JOR","Jordan","MENA","Middle East"
"JPN","Japan","Asia","East Asia"
"KAZ","Kazakhstan","Asia","Central Asia"
"KEN","Kenya","SSA","East Africa"
"KGZ","Kyrgyzstan","Asia","Central Asia"
"KHM","Cambodia","Asia","Southeast Asia"
"KIR","Kiribati","Asia","Southeast Asia"
"KNA","St. Kitts & Nevis","Americas","Caribbean"
"KOR","South Korea","Asia","East Asia"
"KSV","Kosovo","Europe","Eastern Europe"
"KWT","Kuwait","MENA","Middle East"
"LAO","Laos","Asia","Southeast Asia"
"LBN","Lebanon","MENA","Middle East"
"LBR","Liberia","SSA","West Africa"
"LBY","Libya","MENA","North Africa"
"LCA","St. Lucia","Americas","Caribbean"
"LIE","Liechtenstein","Europe","WEOG"
"LKA","Sri Lanka","Asia","South Asia"
"LSO","Lesotho","SSA","Southern Africa"
"LTU","Lithuania","Europe","Eastern Europe"
"LUX","Luxembourg","Europe","WEOG"
"LVA","Latvia","Europe","Eastern Europe"
"MAC","Macao SAR China","Asia","East Asia"
"MAR","Morocco","MENA","North Africa"
"MCO","Monaco","Europe","WEOG"
"MDA","Moldova","Europe","Eastern Europe"
"MDG","Madagascar","SSA","Southern Africa"
"MDV","Maldives","Asia","South Asia"
"MEX","Mexico","Americas","Central America"
"MHL","Marshall Islands","Asia","Southeast Asia"
"MKD","North Macedonia","Europe","Eastern Europe"
"MLI","Mali","SSA","West Africa"
"MLT","Malta","Europe","WEOG"
"MMR","Myanmar (Burma)","Asia","Southeast Asia"
"MNE","Montenegro","Europe","Eastern Europe"
"MNG","Mongolia","Asia","East Asia"
"MOZ","Mozambique","SSA","Southern Africa"
"MRT","Mauritania","SSA","West Africa"
"MUS","Mauritius","SSA","East Africa"
"MWI","Malawi","SSA","Southern Africa"
"MYS","Malaysia","Asia","Southeast Asia"
"NAM","Namibia","SSA","Southern Africa"
"NER","Niger","SSA","West Africa"
"NGA","Nigeria","SSA","West Africa"
"NIC","Nicaragua","Americas","Central America"
"NIU","Niue","Asia","Southeast Asia"
"NLD","Netherlands","Europe","WEOG"
"NOR","Norway","Europe","WEOG"
"NPL","Nepal","Asia","South Asia"
"NRU","Nauru","Asia","Southeast Asia"
"NZL","New Zealand","Asia","WEOG"
"OMN","Oman","MENA","Middle East"
"PAK","Pakistan","Asia","South Asia"
"PAN","Panama","Americas","Central America"
"PER","Peru","Americas","South America"
"PHL","Philippines","Asia","Southeast Asia"
"PLW","Palau","Asia","Southeast Asia"
"PNG","Papua New Guinea","Asia","Southeast Asia"
"POL","Poland","Europe","Eastern Europe"
"PRK","North Korea","Asia","East Asia"
"PRT","Portugal","Europe","WEOG"
"PRY","Paraguay","Americas","South America"
"PSE","Palestinian Territories","MENA","Middle East"
"QAT","Qatar","MENA","Middle East"
"ROU","Romania","Europe","Eastern Europe"
"RUS","Russia","Europe","Eastern Europe"
"RVN","South Vietnam","Asia","Southeast Asia"
"RWA","Rwanda","SSA","Central Africa"
"SAU","Saudi Arabia","MENA","Middle East"
"SDN","Sudan","SSA","East Africa"
"SEN","Senegal","SSA","West Africa"
"SGP","Singapore","Asia","Southeast Asia"
"SLB","Solomon Islands","Asia","Southeast Asia"
"SLE","Sierra Leone","SSA","West Africa"
"SLV","El Salvador","Americas","Central America"
"SMR","San Marino","Europe","WEOG"
"SOM","Somalia","SSA","East Africa"
"SOV","Soviet Union","Europe","Eastern Europe"
"SRB","Serbia","Europe","Eastern Europe"
"STP","São Tomé & Príncipe","SSA","Central Africa"
"SUR","Suriname","Americas","South America"
"SVK","Slovakia","Europe","Eastern Europe"
"SVN","Slovenia","Europe","Eastern Europe"
"SWE","Sweden","Europe","WEOG"
"SWZ","Eswatini","SSA","Southern Africa"
"SYC","Seychelles","SSA","East Africa"
"SYR","Syria","MENA","Middle East"
"TCD","Chad","SSA","Central Africa"
"TGO","Togo","SSA","West Africa"
"THA","Thailand","Asia","Southeast Asia"
"TJK","Tajikistan","Asia","Central Asia"
"TKL","Tokelau","Asia","Southeast Asia"
"TKM","Turkmenistan","Asia","Central Asia"
"TLS","Timor-Leste","Asia","Southeast Asia"
"TON","Tonga","Asia","Southeast Asia"
"TTO","Trinidad & Tobago","Americas","Caribbean"
"TUN","Tunisia","MENA","North Africa"
"TUR","Turkey","MENA","Middle East"
"TUV","Tuvalu","Asia","Southeast Asia"
"TWN","Taiwan","Asia","East Asia"
"TZA","Tanzania","SSA","East Africa"
"UGA","Uganda","SSA","East Africa"
"UKR","Ukraine","Europe","Eastern Europe"
"URY","Uruguay","Americas","South America"
"USA","United States","Americas","WEOG"
"UZB","Uzbekistan","Asia","Central Asia"
"VAT","Vatican City","Europe","WEOG"
"VCT","St. Vincent & Grenadines","Americas","Caribbean"
"VEN","Venezuela","Americas","South America"
"VNM","Vietnam","Asia","Southeast Asia"
"VUT","Vanuatu","Asia","Southeast Asia"
"WSM","Samoa","Asia","Southeast Asia"
"YAR","Yemen North","MENA","Middle East"
"YEM","Yemen","MENA","Middle East"
"YPR","Yemen South","MENA","Middle East"
"YUG","Yugoslavia","Europe","Eastern Europe"
"ZAF","South Africa","SSA","Southern Africa"
"ZMB","Zambia","SSA","Southern Africa"
"ZWE","Zimbabwe","SSA","Southern Africa"
"ALB","Albania",NA,"Eastern Europe"
