"","iso3c","year","cn"
"1","USA",1816,1
"2","USA",1817,1
"3","USA",1818,1
"4","USA",1819,1
"5","USA",1820,1
"6","USA",1821,1
"7","USA",1822,1
"8","USA",1823,1
"9","USA",1824,1
"10","USA",1825,1
"11","USA",1826,1
"12","USA",1827,1
"13","USA",1828,1
"14","USA",1829,1
"15","USA",1830,1
"16","USA",1831,1
"17","USA",1832,1
"18","USA",1833,1
"19","USA",1834,1
"20","USA",1835,1
"21","USA",1836,1
"22","USA",1837,1
"23","USA",1838,1
"24","USA",1839,1
"25","USA",1840,1
"26","USA",1841,1
"27","USA",1842,1
"28","USA",1843,1
"29","USA",1844,1
"30","USA",1845,1
"31","USA",1846,1
"32","USA",1847,1
"33","USA",1848,1
"34","USA",1849,1
"35","USA",1850,1
"36","USA",1851,1
"37","USA",1852,1
"38","USA",1853,1
"39","USA",1854,1
"40","USA",1855,1
"41","USA",1856,1
"42","USA",1857,1
"43","USA",1858,1
"44","USA",1859,1
"45","USA",1860,1
"46","USA",1861,1
"47","USA",1862,1
"48","USA",1863,1
"49","USA",1864,1
"50","USA",1865,1
"51","USA",1866,1
"52","USA",1867,1
"53","USA",1868,1
"54","USA",1869,1
"55","USA",1870,1
"56","USA",1871,1
"57","USA",1872,1
"58","USA",1873,1
"59","USA",1874,1
"60","USA",1875,1
"61","USA",1876,1
"62","USA",1877,1
"63","USA",1878,1
"64","USA",1879,1
"65","USA",1880,1
"66","USA",1881,1
"67","USA",1882,1
"68","USA",1883,1
"69","USA",1884,1
"70","USA",1885,1
"71","USA",1886,1
"72","USA",1887,1
"73","USA",1888,1
"74","USA",1889,1
"75","USA",1890,1
"76","USA",1891,1
"77","USA",1892,1
"78","USA",1893,1
"79","USA",1894,1
"80","USA",1895,1
"81","USA",1896,1
"82","USA",1897,1
"83","USA",1898,1
"84","USA",1899,1
"85","USA",1900,1
"86","USA",1901,1
"87","USA",1902,1
"88","USA",1903,1
"89","USA",1904,1
"90","USA",1905,1
