"iso3c","year","ethf"
"GBR",1945,0.309
"GBR",1946,0.309
"GBR",1947,0.309
"GBR",1948,0.309
"GBR",1949,0.309
"GBR",1950,0.309
"GBR",1951,0.309
"GBR",1952,0.309
"GBR",1953,0.309
"GBR",1954,0.309
"GBR",1955,0.309
"GBR",1956,0.309
"GBR",1957,0.309
"GBR",1958,0.309
"GBR",1959,0.309
"GBR",1960,0.309
"GBR",1961,0.31
"GBR",1962,0.31
"GBR",1963,0.31
"GBR",1964,0.311
"GBR",1965,0.311
"GBR",1966,0.312
"GBR",1967,0.312
"GBR",1968,0.313
"GBR",1969,0.313
"GBR",1970,0.314
"GBR",1971,0.314
"GBR",1972,0.315
"GBR",1973,0.316
"GBR",1974,0.317
"GBR",1975,0.318
"GBR",1976,0.319
"GBR",1977,0.319
"GBR",1978,0.32
"GBR",1979,0.322
"GBR",1980,0.323
"GBR",1981,0.324
"GBR",1982,0.325
"GBR",1983,0.326
"GBR",1984,0.328
"GBR",1985,0.329
"GBR",1986,0.331
"GBR",1987,0.332
"GBR",1988,0.334
"GBR",1989,0.335
"GBR",1990,0.337
"GBR",1991,0.339
"GBR",1992,0.341
"GBR",1993,0.343
"GBR",1994,0.345
"GBR",1995,0.347
"GBR",1996,0.349
"GBR",1997,0.351
"GBR",1998,0.354
"GBR",1999,0.356
"GBR",2000,0.358
"GBR",2001,0.361
"GBR",2002,0.364
"GBR",2003,0.366
"GBR",2004,0.369
"GBR",2005,0.372
"GBR",2006,0.375
"GBR",2007,0.378
"GBR",2008,0.382
"GBR",2009,0.385
"GBR",2010,0.389
"GBR",2011,0.392
"GBR",2012,0.396
"GBR",2013,0.399
"IRL",1945,0.051
"IRL",1946,0.052
"IRL",1947,0.053
"IRL",1948,0.054
"IRL",1949,0.055
"IRL",1950,0.056
"IRL",1951,0.057
"IRL",1952,0.058
"IRL",1953,0.059
"IRL",1954,0.06
"IRL",1955,0.061
"IRL",1956,0.063
"IRL",1957,0.064
"IRL",1958,0.065
"IRL",1959,0.066
"IRL",1960,0.068
"IRL",1961,0.069
"IRL",1962,0.07
"IRL",1963,0.072
"IRL",1964,0.073
"IRL",1965,0.074
"IRL",1966,0.076
"IRL",1967,0.077
"IRL",1968,0.079
"IRL",1969,0.08
"IRL",1970,0.082
"IRL",1971,0.083
"IRL",1972,0.085
"IRL",1973,0.086
"IRL",1974,0.088
"IRL",1975,0.089
"IRL",1976,0.091
"IRL",1977,0.093
"IRL",1978,0.094
"IRL",1979,0.096
"IRL",1980,0.098
"IRL",1981,0.1
"IRL",1982,0.102
"IRL",1983,0.103
"IRL",1984,0.105
"IRL",1985,0.107
"IRL",1986,0.109
"IRL",1987,0.111
"IRL",1988,0.113
"IRL",1989,0.115
"IRL",1990,0.117
"IRL",1991,0.119
"IRL",1992,0.122
"IRL",1993,0.124
"IRL",1994,0.126
"IRL",1995,0.128
"IRL",1996,0.13
"IRL",1997,0.133
"IRL",1998,0.135
"IRL",1999,0.137
"IRL",2000,0.14
"IRL",2001,0.142
"IRL",2002,0.145
"IRL",2003,0.147
"IRL",2004,0.15
"IRL",2005,0.152
"IRL",2006,0.155
"IRL",2007,0.157
"IRL",2008,0.16
"IRL",2009,0.163
"IRL",2010,0.165
"IRL",2011,0.168
"IRL",2012,0.171
"IRL",2013,0.174
"NLD",1945,0.007
"NLD",1946,0.008
"NLD",1947,0.008
"NLD",1948,0.008
"NLD",1949,0.009
"NLD",1950,0.009
"NLD",1951,0.009
"NLD",1952,0.01
"NLD",1953,0.01
"NLD",1954,0.01
"NLD",1955,0.011
"NLD",1956,0.011
"NLD",1957,0.012
"NLD",1958,0.012
"NLD",1959,0.013
"NLD",1960,0.013
"NLD",1961,0.014
"NLD",1962,0.014
"NLD",1963,0.015
"NLD",1964,0.015
"NLD",1965,0.016
"NLD",1966,0.016
"NLD",1967,0.017
"NLD",1968,0.018
"NLD",1969,0.019
"NLD",1970,0.021
"NLD",1971,0.022
"NLD",1972,0.024
"NLD",1973,0.026
"NLD",1974,0.028
"NLD",1975,0.03
"NLD",1976,0.032
"NLD",1977,0.035
"NLD",1978,0.037
"NLD",1979,0.04
"NLD",1980,0.043
"NLD",1981,0.046
"NLD",1982,0.05
"NLD",1983,0.054
"NLD",1984,0.058
"NLD",1985,0.062
"NLD",1986,0.067
"NLD",1987,0.071
"NLD",1988,0.077
"NLD",1989,0.082
"NLD",1990,0.088
"NLD",1991,0.095
"NLD",1992,0.101
"NLD",1993,0.108
"NLD",1994,0.116
"NLD",1995,0.124
"NLD",1996,0.133
"NLD",1997,0.142
"NLD",1998,0.151
"NLD",1999,0.161
"NLD",2000,0.172
"NLD",2001,0.183
"NLD",2002,0.194
"NLD",2003,0.207
"NLD",2004,0.219
"NLD",2005,0.233
"NLD",2006,0.246
"NLD",2007,0.26
"NLD",2008,0.275
"NLD",2009,0.29
"NLD",2010,0.306
"NLD",2011,0.321
"NLD",2012,0.338
"NLD",2013,0.354
"BEL",1945,0.485
"BEL",1946,0.488
"BEL",1947,0.49
"BEL",1948,0.492
"BEL",1949,0.494
"BEL",1950,0.496
"BEL",1951,0.498
"BEL",1952,0.5
"BEL",1953,0.501
"BEL",1954,0.503
"BEL",1955,0.505
"BEL",1956,0.507
"BEL",1957,0.509
"BEL",1958,0.511
"BEL",1959,0.513
"BEL",1960,0.515
"BEL",1961,0.517
"BEL",1962,0.518
"BEL",1963,0.52
"BEL",1964,0.522
"BEL",1965,0.524
"BEL",1966,0.525
"BEL",1967,0.527
"BEL",1968,0.529
"BEL",1969,0.531
"BEL",1970,0.532
"BEL",1971,0.534
"BEL",1972,0.536
"BEL",1973,0.537
"BEL",1974,0.539
"BEL",1975,0.541
"BEL",1976,0.542
"BEL",1977,0.544
"BEL",1978,0.546
"BEL",1979,0.547
"BEL",1980,0.549
"BEL",1981,0.55
"BEL",1982,0.552
"BEL",1983,0.553
"BEL",1984,0.555
"BEL",1985,0.556
"BEL",1986,0.558
"BEL",1987,0.559
"BEL",1988,0.561
"BEL",1989,0.562
"BEL",1990,0.564
"BEL",1991,0.565
"BEL",1992,0.566
"BEL",1993,0.568
"BEL",1994,0.569
"BEL",1995,0.57
"BEL",1996,0.572
"BEL",1997,0.573
"BEL",1998,0.574
"BEL",1999,0.576
"BEL",2000,0.577
"BEL",2001,0.578
"BEL",2002,0.58
"BEL",2003,0.581
"BEL",2004,0.582
"BEL",2005,0.583
"BEL",2006,0.584
"BEL",2007,0.586
"BEL",2008,0.587
"BEL",2009,0.588
"BEL",2010,0.589
"BEL",2011,0.59
"BEL",2012,0.591
"BEL",2013,0.592
"CHE",1945,0.196
"CHE",1946,0.198
"CHE",1947,0.2
"CHE",1948,0.203
"CHE",1949,0.205
"CHE",1950,0.207
"CHE",1951,0.209
"CHE",1952,0.211
"CHE",1953,0.214
"CHE",1954,0.216
"CHE",1955,0.218
"CHE",1956,0.22
"CHE",1957,0.223
"CHE",1958,0.225
"CHE",1959,0.227
"CHE",1960,0.23
"CHE",1961,0.232
"CHE",1962,0.234
"CHE",1963,0.237
"CHE",1964,0.239
"CHE",1965,0.241
"CHE",1966,0.244
"CHE",1967,0.246
"CHE",1968,0.248
"CHE",1969,0.251
"CHE",1970,0.253
"CHE",1971,0.255
"CHE",1972,0.258
"CHE",1973,0.26
"CHE",1974,0.263
"CHE",1975,0.265
"CHE",1976,0.267
"CHE",1977,0.27
"CHE",1978,0.272
"CHE",1979,0.275
"CHE",1980,0.277
"CHE",1981,0.28
"CHE",1982,0.282
"CHE",1983,0.285
"CHE",1984,0.287
"CHE",1985,0.29
"CHE",1986,0.292
"CHE",1987,0.295
"CHE",1988,0.298
"CHE",1989,0.3
"CHE",1990,0.303
"CHE",1991,0.305
"CHE",1992,0.308
"CHE",1993,0.311
"CHE",1994,0.313
"CHE",1995,0.316
"CHE",1996,0.319
"CHE",1997,0.321
"CHE",1998,0.324
"CHE",1999,0.327
"CHE",2000,0.33
"CHE",2001,0.332
"CHE",2002,0.335
"CHE",2003,0.338
"CHE",2004,0.341
"CHE",2005,0.344
"CHE",2006,0.347
"CHE",2007,0.349
"CHE",2008,0.352
"CHE",2009,0.355
"CHE",2010,0.358
"CHE",2011,0.361
"CHE",2012,0.364
"CHE",2013,0.367
"ESP",1945,0.361
"ESP",1946,0.366
"ESP",1947,0.371
"ESP",1948,0.376
"ESP",1949,0.381
"ESP",1950,0.386
"ESP",1951,0.391
"ESP",1952,0.396
"ESP",1953,0.402
"ESP",1954,0.407
"ESP",1955,0.412
"ESP",1956,0.417
"ESP",1957,0.422
"ESP",1958,0.428
"ESP",1959,0.433
"ESP",1960,0.438
"ESP",1961,0.443
"ESP",1962,0.449
"ESP",1963,0.454
"ESP",1964,0.459
"ESP",1965,0.464
"ESP",1966,0.469
"ESP",1967,0.475
"ESP",1968,0.48
"ESP",1969,0.485
"ESP",1970,0.49
"ESP",1971,0.495
"ESP",1972,0.5
"ESP",1973,0.506
"ESP",1974,0.511
"ESP",1975,0.516
"ESP",1976,0.521
"ESP",1977,0.526
"ESP",1978,0.531
"ESP",1979,0.536
"ESP",1980,0.541
"ESP",1981,0.545
"ESP",1982,0.55
"ESP",1983,0.555
"ESP",1984,0.56
"ESP",1985,0.564
"ESP",1986,0.569
"ESP",1987,0.574
"ESP",1988,0.578
"ESP",1989,0.583
"ESP",1990,0.587
"ESP",1991,0.592
"ESP",1992,0.596
"ESP",1993,0.6
"ESP",1994,0.604
"ESP",1995,0.608
"ESP",1996,0.612
"ESP",1997,0.616
"ESP",1998,0.62
"ESP",1999,0.624
"ESP",2000,0.628
"ESP",2001,0.632
"ESP",2002,0.635
"ESP",2003,0.639
"ESP",2004,0.642
"ESP",2005,0.646
"ESP",2006,0.649
"ESP",2007,0.652
"ESP",2008,0.655
"ESP",2009,0.658
"ESP",2010,0.661
"ESP",2011,0.664
"ESP",2012,0.667
"ESP",2013,0.669
"PRT",1945,0.001
"PRT",1946,0.001
"PRT",1947,0.001
"PRT",1948,0.001
"PRT",1949,0.001
"PRT",1950,0.001
"PRT",1951,0.001
"PRT",1952,0.001
"PRT",1953,0.001
"PRT",1954,0.001
"PRT",1955,0.001
"PRT",1956,0.001
"PRT",1957,0.001
"PRT",1958,0.001
"PRT",1959,0.001
"PRT",1960,0.001
"PRT",1961,0.002
"PRT",1962,0.002
"PRT",1963,0.002
"PRT",1964,0.002
"PRT",1965,0.002
"PRT",1966,0.002
"PRT",1967,0.002
"PRT",1968,0.003
"PRT",1969,0.003
"PRT",1970,0.003
"PRT",1971,0.004
"PRT",1972,0.004
"PRT",1973,0.005
"PRT",1974,0.005
"PRT",1975,0.006
"PRT",1976,0.006
"PRT",1977,0.007
"PRT",1978,0.008
"PRT",1979,0.008
"PRT",1980,0.009
"PRT",1981,0.01
"PRT",1982,0.011
"PRT",1983,0.013
"PRT",1984,0.014
"PRT",1985,0.015
"PRT",1986,0.017
"PRT",1987,0.019
"PRT",1988,0.021
"PRT",1989,0.023
"PRT",1990,0.026
"PRT",1991,0.028
"PRT",1992,0.031
"PRT",1993,0.034
"PRT",1994,0.038
"PRT",1995,0.042
"PRT",1996,0.046
"PRT",1997,0.051
"PRT",1998,0.056
"PRT",1999,0.062
"PRT",2000,0.068
"PRT",2001,0.075
"PRT",2002,0.082
"PRT",2003,0.091
"PRT",2004,0.1
"PRT",2005,0.109
"PRT",2006,0.12
"PRT",2007,0.131
"PRT",2008,0.143
"PRT",2009,0.156
"PRT",2010,0.171
"PRT",2011,0.186
"PRT",2012,0.202
"PRT",2013,0.22
"BRD",1949,0.072
"BRD",1950,0.073
"BRD",1951,0.074
"BRD",1952,0.076
"BRD",1953,0.077
"BRD",1954,0.078
"BRD",1955,0.079
"BRD",1956,0.08
"BRD",1957,0.082
"BRD",1958,0.083
"BRD",1959,0.084
"BRD",1960,0.086
"BRD",1961,0.087
"BRD",1962,0.088
"BRD",1963,0.09
"BRD",1964,0.091
"BRD",1965,0.093
"BRD",1966,0.094
"BRD",1967,0.096
"BRD",1968,0.097
"BRD",1969,0.099
"BRD",1970,0.1
"BRD",1971,0.102
"BRD",1972,0.103
"BRD",1973,0.105
"BRD",1974,0.107
"BRD",1975,0.108
"BRD",1976,0.11
"BRD",1977,0.112
"BRD",1978,0.113
"BRD",1979,0.115
"BRD",1980,0.117
"BRD",1981,0.119
"BRD",1982,0.12
"BRD",1983,0.122
"BRD",1984,0.124
"BRD",1985,0.126
"BRD",1986,0.128
"BRD",1987,0.13
"BRD",1988,0.132
"BRD",1989,0.134
"DEU",1990,0.136
"DEU",1991,0.138
"DEU",1992,0.14
"DEU",1993,0.142
"DEU",1994,0.144
"DEU",1995,0.146
"DEU",1996,0.148
"DEU",1997,0.151
"DEU",1998,0.153
"DEU",1999,0.155
"DEU",2000,0.157
"DEU",2001,0.16
"DEU",2002,0.162
"DEU",2003,0.164
"DEU",2004,0.167
"DEU",2005,0.169
"DEU",2006,0.171
"DEU",2007,0.174
"DEU",2008,0.176
"DEU",2009,0.179
"DEU",2010,0.181
"DEU",2011,0.184
"DEU",2012,0.187
"DEU",2013,0.189
"DDR",1949,0.04
"DDR",1950,0.039
"DDR",1951,0.039
"DDR",1952,0.038
"DDR",1953,0.037
"DDR",1954,0.036
"DDR",1955,0.035
"DDR",1956,0.035
