"iso3c","year","lo","bq","cr"
"AFG",1984,NA,NA,NA
"AGO",1984,2,2,3
"ALB",1984,4.66666666666667,1,4
"AND",1984,NA,NA,NA
"ARE",1984,2.66666666666667,2,3
"ARG",1984,3,2,3.66666666666667
"ATG",1984,NA,NA,NA
"AUS",1984,6,4,5
"AUT",1984,6,3.5,5
"BDI",1984,NA,NA,NA
"BEL",1984,6,4,6
"BEN",1984,NA,NA,NA
"BFA",1984,NA,NA,NA
"BGD",1984,1,0,0
"BGR",1984,5,2,4
"BHR",1984,4,3,3
"BHS",1984,NA,NA,NA
"BLZ",1984,NA,NA,NA
"BOL",1984,1,0,1.16666666666667
"BRA",1984,3.58333333333333,3,3.41666666666667
"BRB",1984,NA,NA,NA
"BRD",1984,5,4,5
"BRN",1984,4,3.5,5
"BTN",1984,NA,NA,NA
"BWA",1984,NA,NA,NA
"CAF",1984,NA,NA,NA
"CAN",1984,6,4,6
"CHE",1984,6,4,6
"CHL",1984,4,2.58333333333333,3.33333333333333
"CHN",1984,2.85714285714286,1.85714285714286,4
"CIV",1984,3.66666666666667,3,2.25
"CMR",1984,2.5,2.41666666666667,2
"COD",1984,1,0,0
"COG",1984,NA,NA,NA
"COL",1984,1.66666666666667,3,3
"COM",1984,NA,NA,NA
"CPV",1984,NA,NA,NA
"CRI",1984,4,2,5
"CUB",1984,NA,NA,NA
"CYP",1984,NA,NA,NA
"CZE",1984,5,2,4
"DDR",1984,5,2,5
"DJI",1984,NA,NA,NA
"DMA",1984,NA,NA,NA
"DNK",1984,6,4,6
"DOM",1984,3,2,3
"DZA",1984,2,1,3
"ECU",1984,4,2,3
"EGY",1984,2.66666666666667,1,1.66666666666667
"ESP",1984,4,3,4.5
"ETH",1984,NA,NA,NA
"FIN",1984,6,4,6
"FJI",1984,NA,NA,NA
"FRA",1984,5,4,6
"GAB",1984,2,1.66666666666667,2
"GBR",1984,5.66666666666667,4,6
"GHA",1984,1,0,1.58333333333333
"GIN",1984,3,0,3
"GMB",1984,NA,NA,NA
"GNB",1984,NA,NA,NA
"GNQ",1984,NA,NA,NA
"GRC",1984,3,2,3
"GRD",1984,NA,NA,NA
"GTM",1984,1,0,2
"GUY",1984,1,0,1
"HND",1984,1,0,2
"HTI",1984,1,0,0
"HUN",1984,5,3,4
"IDN",1984,1.5,0,1
"IND",1984,2.83333333333333,2.41666666666667,3
"IRL",1984,4,3.5,5
"IRN",1984,1.66666666666667,1,3
"IRQ",1984,1,0.583333333333333,2.66666666666667
"ISL",1984,6,4,6
"ISR",1984,2,2.33333333333333,5
"ITA",1984,5,3,4
"JAM",1984,2,1.5,2
"JOR",1984,2,2,3
"JPN",1984,5,4,5
"KEN",1984,2.16666666666667,1.66666666666667,2
"KHM",1984,NA,NA,NA
"KNA",1984,NA,NA,NA
"KOR",1984,3,3.125,2.83333333333333
"KWT",1984,2.66666666666667,2,3
"LAO",1984,NA,NA,NA
"LBN",1984,1,1,3
"LBR",1984,2,0,1
"LBY",1984,1,0.583333333333333,3
"LCA",1984,NA,NA,NA
"LIE",1984,NA,NA,NA
"LKA",1984,1,2,3
"LSO",1984,NA,NA,NA
"LUX",1984,NA,NA,NA
"MAR",1984,2,2.41666666666667,2
"MCO",1984,NA,NA,NA
"MDG",1984,NA,NA,NA
"MDV",1984,NA,NA,NA
"MEX",1984,4,2,3
"MLI",1984,2,0,1
"MLT",1984,NA,NA,NA
"MMR",1984,2,0,2
"MNG",1984,NA,NA,NA
"MOZ",1984,NA,NA,NA
"MRT",1984,NA,NA,NA
"MUS",1984,NA,NA,NA
"MWI",1984,2,1,4
"MYS",1984,4.66666666666667,3,5
"NER",1984,NA,NA,NA
"NGA",1984,1,0,1.66666666666667
"NIC",1984,1,0,3
"NLD",1984,6,4,6
"NOR",1984,6,4,6
"NPL",1984,NA,NA,NA
"NZL",1984,6,4,6
"OMN",1984,NA,NA,NA
"PAK",1984,2,1.25,1
"PAN",1984,2,0,2
"PER",1984,1,1,2.66666666666667
"PHL",1984,1,1,0
"PNG",1984,4,3,3
"POL",1984,4,1,3
"PRK",1984,NA,NA,NA
"PRT",1984,5,2.33333333333333,3.25
"PRY",1984,2,0,1.75
"QAT",1984,NA,NA,NA
"ROU",1984,2,0,2
"RWA",1984,NA,NA,NA
"SAU",1984,3.66666666666667,2.75,3.33333333333333
"SDN",1984,2,0,1.41666666666667
"SEN",1984,2,2,3
"SGP",1984,4.66666666666667,3.5,6
"SLB",1984,NA,NA,NA
"SLE",1984,NA,NA,NA
"SLV",1984,1,0,2
"SMR",1984,NA,NA,NA
"SOM",1984,NA,NA,NA
"SOV",1984,2,1,3.375
"STP",1984,NA,NA,NA
"SUR",1984,NA,NA,NA
"SWE",1984,6,4,6
"SWZ",1984,NA,NA,NA
"SYC",1984,NA,NA,NA
"SYR",1984,1.58333333333333,0.416666666666667,1.41666666666667
"TCD",1984,NA,NA,NA
"TGO",1984,2,1,2
"THA",1984,3,2.5,3
"TTO",1984,4,2,2
"TUN",1984,2,2,3
"TUR",1984,3,2,3
"TWN",1984,5,3.5,4
"TZA",1984,3,0,2.58333333333333
"UGA",1984,1,0,1
"URY",1984,3,1,3
"USA",1984,6,4,5.41666666666667
"VCT",1984,NA,NA,NA
"VEN",1984,3.58333333333333,2,2.41666666666667
"VNM",1984,NA,NA,NA
"VUT",1984,NA,NA,NA
"WSM",1984,NA,NA,NA
"YAR",1984,NA,NA,NA
"YPR",1984,NA,NA,NA
"YUG",1984,2.41666666666667,1.41666666666667,3
"ZAF",1984,3,4,6
"ZMB",1984,2,0.416666666666667,1.41666666666667
"ZWE",1984,1,2.33333333333333,2.91666666666667
"AFG",1985,NA,NA,NA
"AGO",1985,2,2,3
"ALB",1985,4,1,4
"AND",1985,NA,NA,NA
"ARE",1985,3,2,3
"ARG",1985,3,2,4
"ATG",1985,NA,NA,NA
"AUS",1985,6,4,5
"AUT",1985,6,3.5,5
"BDI",1985,NA,NA,NA
"BEL",1985,6,4,6
"BEN",1985,NA,NA,NA
"BFA",1985,3,2,4
"BGD",1985,1,0,0
"BGR",1985,5,2,4
"BHR",1985,4,3,3
"BHS",1985,4,3,0
"BLZ",1985,NA,NA,NA
"BOL",1985,1,0,1
"BRA",1985,4,3,4
"BRB",1985,NA,NA,NA
"BRD",1985,5,3.83333333333333,4.66666666666667
"BRN",1985,4,3.5,5
"BTN",1985,NA,NA,NA
"BWA",1985,5,3,3.75
"CAF",1985,NA,NA,NA
"CAN",1985,6,4,6
"CHE",1985,6,4,6
"CHL",1985,4,2,3
"CHN",1985,3,2,4
"CIV",1985,4,3,3
"CMR",1985,3,3,2
"COD",1985,1,0.25,0
"COG",1985,2,1,3
"COL",1985,1,3,3
"COM",1985,NA,NA,NA
"CPV",1985,NA,NA,NA
"CRI",1985,4,2,5
"CUB",1985,5,2,3
"CYP",1985,2,3,3
"CZE",1985,5,2,4
"DDR",1985,5,2,5
"DJI",1985,NA,NA,NA
"DMA",1985,NA,NA,NA
"DNK",1985,6,4,6
"DOM",1985,3,2,3
"DZA",1985,2,1,4
"ECU",1985,4,2,3
"EGY",1985,3,2,2
"ESP",1985,4,3,4
"ETH",1985,3,0,3
"FIN",1985,6,4,6
"FJI",1985,NA,NA,NA
"FRA",1985,5,4,6
"GAB",1985,2,3,2.41666666666667
"GBR",1985,4.75,4,6
"GHA",1985,1,0.75,2
"GIN",1985,3,0.166666666666667,3
"GMB",1985,NA,NA,NA
"GNB",1985,NA,NA,NA
"GNQ",1985,NA,NA,NA
"GRC",1985,3,2,3.41666666666667
"GRD",1985,NA,NA,NA
"GTM",1985,1,0,2
"GUY",1985,1,0,1
"HND",1985,2,0,2
"HTI",1985,1,0,0
"HUN",1985,5,3,4
"IDN",1985,2,0,1
"IND",1985,2,3,3
"IRL",1985,4,3.5,5
"IRN",1985,2,1,3
"IRQ",1985,1,1,3
"ISL",1985,6,4,6
"ISR",1985,2.83333333333333,3,5
"ITA",1985,5,3,4
"JAM",1985,2,2,2
"JOR",1985,2,2,3
"JPN",1985,5,4,5
"KEN",1985,4,2.75,3
"KHM",1985,NA,NA,NA
"KNA",1985,NA,NA,NA
"KOR",1985,2.83333333333333,3,2
"KWT",1985,3,2,3
"LAO",1985,NA,NA,NA
"LBN",1985,1,1,3
"LBR",1985,2,0,1
"LBY",1985,1,1,3
"LCA",1985,NA,NA,NA
"LIE",1985,NA,NA,NA
"LKA",1985,1,2,3
"LSO",1985,NA,NA,NA
"LUX",1985,6,3.95833333333333,6
"MAR",1985,2,3,2
"MCO",1985,NA,NA,NA
"MDG",1985,4,2,4
"MDV",1985,NA,NA,NA
"MEX",1985,3.08333333333333,1.41666666666667,3
"MLI",1985,2,0,1
"MLT",1985,NA,NA,NA
"MMR",1985,2,0,2
"MNG",1985,NA,NA,NA
"MOZ",1985,3,2,4
"MRT",1985,NA,NA,NA
"MUS",1985,NA,NA,NA
"MWI",1985,2,1,4
"MYS",1985,5,3,5
"NCL",1985,2.25,3,2
"NER",1985,4,3,4
"NGA",1985,1,1,2
"NIC",1985,2,1,4.41666666666667
"NLD",1985,6,4,6
"NOR",1985,6,3.58333333333333,6
"NPL",1985,NA,NA,NA
"NZL",1985,6,4,6
"OMN",1985,3,2,3
"PAK",1985,2,2,2
"PAN",1985,2,0,2
"PER",1985,1,1,3
"PHL",1985,1,0.666666666666667,0
"PNG",1985,4,3,3
"POL",1985,4,1,4
"PRK",1985,3,2,5
"PRT",1985,5,1.83333333333333,4
"PRY",1985,2,0,1
"QAT",1985,3,1,2
"ROU",1985,2,0,2
"RWA",1985,NA,NA,NA
"SAU",1985,4,3,3
"SDN",1985,2,0,2
"SEN",1985,2,2,3
"SGP",1985,5,3.5,6
"SLB",1985,NA,NA,NA
"SLE",1985,4,2,2
"SLV",1985,1,0,2
"SMR",1985,NA,NA,NA
"SOM",1985,3,1,4
"SOV",1985,2,1,4
"STP",1985,NA,NA,NA
"SUR",1985,NA,NA,NA
"SWE",1985,6,4,6
"SWZ",1985,NA,NA,NA
"SYC",1985,NA,NA,NA
"SYR",1985,2,1,2
"TCD",1985,NA,NA,NA
"TGO",1985,2,1,2
"THA",1985,3,3,3
"TTO",1985,4,2,2
"TUN",1985,2,2,3
"TUR",1985,3,2,3
"TWN",1985,5,3,4
"TZA",1985,3,0,3
"UGA",1985,1,0,1
"URY",1985,3,1,3
"USA",1985,6,4,5
"VCT",1985,NA,NA,NA
"VEN",1985,4,2,3
"VNM",1985,3,1,2
"VUT",1985,NA,NA,NA
"WSM",1985,NA,NA,NA
"YAR",1985,NA,NA,NA
"YPR",1985,NA,NA,NA
"YUG",1985,2,1,3
"ZAF",1985,2.25,4,6
"ZMB",1985,2,1,2
"ZWE",1985,2,3,3
"AFG",1986,NA,NA,NA
"AGO",1986,2,2,3
"ALB",1986,4,1,4
"AND",1986,NA,NA,NA
"ARE",1986,3,2,3
"ARG",1986,3,2,4
"ATG",1986,NA,NA,NA
"AUS",1986,6,4,5
"AUT",1986,6,3.5,5
"BDI",1986,NA,NA,NA
"BEL",1986,6,4,5.83333333333333
"BEN",1986,NA,NA,NA
"BFA",1986,3,2,4
"BGD",1986,1,0,0
"BGR",1986,5,2,4
"BHR",1986,4,3,3
"BHS",1986,4,3,0
"BLZ",1986,NA,NA,NA
"BOL",1986,1,0,1
"BRA",1986,4,3,4
"BRB",1986,NA,NA,NA
"BRD",1986,5,4,4.91666666666667
"BRN",1986,4,3.5,5
"BTN",1986,NA,NA,NA
"BWA",1986,5,3,4
"CAF",1986,NA,NA,NA
"CAN",1986,6,4,6
"CHE",1986,6,4,6
"CHL",1986,4,2,3
"CHN",1986,3,2,3.16666666666667
"CIV",1986,4,3,3
"CMR",1986,3,3,2
"COD",1986,1,1,0
"COG",1986,2,1,3
"COL",1986,1,3,3
"COM",1986,NA,NA,NA
"CPV",1986,NA,NA,NA
"CRI",1986,4,2,5
"CUB",1986,5,2,3
"CYP",1986,2,3,3
"CZE",1986,5,2,4
"DDR",1986,5,2,5
"DJI",1986,NA,NA,NA
"DMA",1986,NA,NA,NA
"DNK",1986,6,4,6
"DOM",1986,3,2,3
"DZA",1986,2,1,4
"ECU",1986,4,2,3
"EGY",1986,3,2,2
"ESP",1986,4,3,4
"ETH",1986,3,0,3
"FIN",1986,6,4,6
"FJI",1986,NA,NA,NA
"FRA",1986,4.91666666666667,4,5.83333333333333
"GAB",1986,2,3,2
"GBR",1986,4,4,6
"GHA",1986,1,1,2
"GIN",1986,3,1,3
"GMB",1986,4,1,3
"GNB",1986,1,1,2
"GNQ",1986,NA,NA,NA
"GRC",1986,3,2,4
"GRD",1986,NA,NA,NA
"GTM",1986,1,0,2
"GUY",1986,1,0,1
"HND",1986,2,0,2
"HTI",1986,1,0,0.833333333333333
"HUN",1986,5,3,4
"IDN",1986,2,0,0.333333333333333
"IND",1986,2,3,3
"IRL",1986,4,3.5,5
"IRN",1986,2,1,3
"IRQ",1986,1,1,3
"ISL",1986,6,4,6
"ISR",1986,3,3,5
"ITA",1986,5,3,4
"JAM",1986,2,2,2
"JOR",1986,2,2,3
"JPN",1986,5,4,5
"KEN",1986,4,3,3
"KHM",1986,NA,NA,NA
"KNA",1986,NA,NA,NA
"KOR",1986,2,3,2
"KWT",1986,3,2,3
"LAO",1986,NA,NA,NA
"LBN",1986,1,1,3
"LBR",1986,2,0,1
"LBY",1986,1,1,3
"LCA",1986,NA,NA,NA
"LIE",1986,NA,NA,NA
"LKA",1986,1,2,3
"LSO",1986,NA,NA,NA
"LUX",1986,6,4,6
"MAR",1986,2,3,2
"MCO",1986,NA,NA,NA
"MDG",1986,4,2,4
"MDV",1986,NA,NA,NA
"MEX",1986,3,1,3
"MLI",1986,2,0,1
"MLT",1986,2,2,3
"MMR",1986,2,0,2
"MNG",1986,1,1,4
"MOZ",1986,3,2,4
"MRT",1986,NA,NA,NA
"MUS",1986,NA,NA,NA
"MWI",1986,2,1,4
"MYS",1986,5,3,4.33333333333333
"NCL",1986,2,3,2
"NER",1986,4,3,4
"NGA",1986,1,1,2
"NIC",1986,2,1,5
"NLD",1986,6,4,6
"NOR",1986,6,3.5,6
"NPL",1986,NA,NA,NA
"NZL",1986,6,4,6
"OMN",1986,3,2,3
"PAK",1986,2,2,2
"PAN",1986,2,0,2
"PER",1986,1,1,3
"PHL",1986,1,1,1.66666666666667
"PNG",1986,4,3,3
"POL",1986,4,1,4
