"iso3c","year","mil.expenditure.per.capita.cow.un.ln","mil.expenditure.perc.gdp.cow.pwt.ln","mil.expenditure.per.personnel.cow.cow.ln","mil.personnel.per.capita.cow.un.ln","gdp.per.mil.personnel.pwt.cow.ln","mil.cap","mil.cap.sq"
"USA",1950,6.86928200728007,1.80058460254749,11.5730880945085,-4.70380608722845,14.3776736779491,2.59610679964703,6.73977051517353
"USA",1951,7.61464764883303,2.4813521360715,11.5314483885873,-3.91680073975428,13.6552664385039,3.49171312372345,12.1920605383826
"USA",1952,7.92877717721719,2.77031577047596,11.7477882399578,-3.81901106274057,13.5826426554699,3.85566608706127,14.8661609749143
"USA",1953,7.94490020159182,2.7565704681519,11.8024477136385,-3.85754751204665,13.6510474314747,3.85815918379302,14.8853922874864
"USA",1954,7.77674407626309,2.610882255453,11.7249313652186,-3.94818728895553,13.7192192957537,3.66521157618805,13.4337758982229
"USA",1955,7.70820632316913,2.49076004833159,11.7914273509877,-4.08322102781858,13.9058374886442,3.55182130008756,12.6154345477557
"USA",1956,7.69923399929993,2.47797872431792,11.8446909771144,-4.14545697781444,13.9718824387845,3.53561131425756,12.5005473655061
"USA",1957,7.71493338306285,2.48998582963708,11.8811049782685,-4.16617159520562,13.9962893346195,3.5510676790836,12.6100816614322
"USA",1958,7.69478882878575,2.49402153273133,12.0259095724648,-4.33112074367905,14.1370582257215,3.52856872456174,12.4507972439552
"USA",1959,7.69576235433845,2.44459642179171,12.0782613860064,-4.38249903166792,14.2388351502028,3.50273995260221,12.2691871755557
"USA",1960,7.63939418713441,2.37870905943303,12.0471811272794,-4.40778694014501,14.2736422538345,3.430325618993,11.7671338523197
"USA",1961,7.66242110165501,2.39167252516298,12.0849315722495,-4.42251047059453,14.2984292330747,3.45177007054625,11.9147166199189
"USA",1962,7.72993288132563,2.41425553785299,11.970713573147,-4.24078069182138,14.1616282212821,3.52126980824972,12.399341062491
"USA",1963,7.70159659593127,2.3569215735838,11.994862850253,-4.29326625432171,14.2431114626573,3.47097458886675,12.0476645965587
"USA",1964,7.65472509799836,2.26670010058541,11.9655367119724,-4.31081161397407,14.3040067973751,3.39424442695825,11.5208952299371
"USA",1965,7.63899031884201,2.19976262332251,11.9716707137124,-4.33268039487042,14.377078276378,3.35019253652345,11.2237900317774
"USA",1966,7.86476027118403,2.3724594940248,12.0583740189907,-4.19361374780672,14.291084710954,3.59950635756314,12.9564460181375
"USA",1967,7.93812922539421,2.42866600961206,12.0519427938884,-4.11381356849416,14.2284469702644,3.68270701501338,13.5623309584287
"USA",1968,7.95263530801248,2.40451438029009,12.0266430157574,-4.07400770774495,14.2272988214554,3.68399220477455,13.5717985648396
"USA",1969,7.89936912154616,2.32931025265552,12.0080421386437,-4.10867301709754,14.2839020719763,3.60878564007416,13.0233337960055
"USA",1970,7.78739773176933,2.22426424209518,12.0246009801928,-4.23720324842342,14.4055069240857,3.47229521574922,12.0568340653149
"USA",1971,7.69608458121632,2.10953411055449,12.0633194507287,-4.36723486951234,14.5589555261623,3.34570352816632,11.1937320983846
"USA",1972,7.69452676489863,2.0657172133138,12.2285277999772,-4.53400103507855,14.7679807726515,3.31360120209859,10.9799529265492
