"iso3c","country","year","mil.expenditure.cow","mil.expenditure.cow.alt","mil.personnel.cow","mil.expenditure.wmeat","mil.personnel.wmeat","mil.expenditure.sipri","mil.expenditure.cow.ef","mil.personnel.cow.ef","mil.expenditure.wmeat.ef","mil.personnel.wmeat.ef","mil.expenditure.cow.est.flag","mil.expenditure.cow.alt.est.flag","mil.personnel.cow.est.flag","mil.expenditure.wmeat.est.flag","mil.personnel.wmeat.est.flag","mil.expenditure.sipri.est.flag","mpd.pop","gl.pop","un.pop.estimated","cow.pop.estimated","imf.growth.rate.extend","mpd.cgdp.growth","mpd.rgdpna.growth","mil.expenditure.per.capita.cow.un","mil.expenditure.per.capita.cow.alt.un","mil.expenditure.per.capita.cow.cow","mil.expenditure.per.capita.cow.alt.cow","mil.expenditure.per.capita.wmeat.un","mil.expenditure.per.capita.wmeat.cow","mil.expenditure.per.capita.sipri.un","mil.expenditure.per.capita.sipri.cow","mil.expenditure.perc.gdp.cow.pwt","mil.expenditure.perc.gdp.cow.alt.pwt","mil.expenditure.perc.gdp.cow.gl","mil.expenditure.perc.gdp.cow.alt.gl","mil.expenditure.perc.gdp.wmeat.pwt","mil.expenditure.perc.gdp.wmeat.gl","mil.expenditure.perc.gdp.sipri.pwt","mil.expenditure.perc.gdp.sipri.gl","mil.expenditure.per.personnel.cow.cow","mil.expenditure.per.personnel.cow.alt.cow","mil.expenditure.per.personnel.cow.wmeat","mil.expenditure.per.personnel.cow.alt.wmeat","mil.expenditure.per.personnel.wmeat.cow","mil.expenditure.per.personnel.wmeat.wmeat","mil.expenditure.per.personnel.sipri.cow","mil.expenditure.per.personnel.sipri.wmeat","mil.personnel.per.capita.cow.un","mil.personnel.per.capita.cow.cow","mil.personnel.per.capita.wmeat.un","mil.personnel.per.capita.wmeat.cow","gdp.per.mil.personnel.pwt.cow","gdp.per.mil.personnel.pwt.wmeat","gdp.per.mil.personnel.gl.cow","gdp.per.mil.personnel.gl.wmeat","mil.expenditure.growth.rate.cow","mil.expenditure.growth.rate.cow.alt","mil.expenditure.growth.rate.wmeat","mil.expenditure.growth.rate.sipri","mil.personnel.growth.rate.cow","mil.personnel.growth.rate.wmeat","mil.expenditure.per.capita.growth.rate.cow.un","mil.expenditure.per.capita.growth.rate.cow.alt.un","mil.expenditure.per.capita.growth.rate.cow.cow","mil.expenditure.per.capita.growth.rate.cow.alt.cow","mil.expenditure.per.capita.growth.rate.wmeat.un","mil.expenditure.per.capita.growth.rate.wmeat.cow","mil.expenditure.per.capita.growth.rate.sipri.un","mil.expenditure.per.capita.growth.rate.sipri.cow","mil.expenditure.perc.gdp.growth.rate.cow.pwt","mil.expenditure.perc.gdp.growth.rate.cow.alt.pwt","mil.expenditure.perc.gdp.growth.rate.cow.gl","mil.expenditure.perc.gdp.growth.rate.cow.alt.gl","mil.expenditure.perc.gdp.growth.rate.wmeat.pwt","mil.expenditure.perc.gdp.growth.rate.wmeat.gl","mil.expenditure.perc.gdp.growth.rate.sipri.pwt","mil.expenditure.perc.gdp.growth.rate.sipri.gl","mil.expenditure.per.personnel.growth.rate.cow.cow","mil.expenditure.per.personnel.growth.rate.cow.alt.cow","mil.expenditure.per.personnel.growth.rate.cow.wmeat","mil.expenditure.per.personnel.growth.rate.cow.alt.wmeat","mil.expenditure.per.personnel.growth.rate.wmeat.cow","mil.expenditure.per.personnel.growth.rate.wmeat.wmeat","mil.expenditure.per.personnel.growth.rate.sipri.cow","mil.expenditure.per.personnel.growth.rate.sipri.wmeat","mil.personnel.per.capita.growth.rate.cow.un","mil.personnel.per.capita.growth.rate.cow.cow","mil.personnel.per.capita.growth.rate.wmeat.un","mil.personnel.per.capita.growth.rate.wmeat.cow","gdp.per.mil.personnel.growth.rate.pwt.cow","gdp.per.mil.personnel.growth.rate.pwt.wmeat","gdp.per.mil.personnel.growth.rate.gl.cow","gdp.per.mil.personnel.growth.rate.gl.wmeat"
"USA","United States",1946,584936432640,584936432640,3030000,584936343157.435,3030000,610284786617.806,0,0,1,1,0,0,0,1,1,1,144081000,0,1,0,-11.090800285339,-8.56665376554046,-8.56665376554046,3909.49233274633,3909.49233274633,4137.07171448981,4137.07171448981,3909.49173467894,4137.07108160773,4078.91107638092,4316.35266263858,20.9151618024892,20.9151618024892,20.5783943582383,20.5783943582383,20.9151586029238,20.5783912101911,21.8215251187213,21.4701637803159,193048.32760396,193048.32760396,193048.32760396,193048.32760396,193048.298071761,193048.298071761,201414.120995975,201414.120995975,0.020251365972808,0.0214302385616986,0.020251365972808,0.0214302385616986,923006.618007541,923006.618007541,938111.711940614,938111.711940614,0,0,0,0,-75.0061865874784,-75.0061865874784,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"USA","United States",1947,165492948440,165492948440,1583000,165492923123.175,1583000,172664623179.005,0,0,1,1,0,0,0,1,1,1,146850000,0,1,0,-0.69080001115799,-0.980252644269069,-0.980252644269069,1085.08678988811,1085.08678988811,1148.25186600613,1148.25186600613,1085.08662389341,1148.25169034855,1132.10927389135,1198.01162301739,6.65557143148885,6.65557143148885,6.54840612231373,6.54840612231373,6.65557041333103,6.54840512054988,6.94399214039994,6.83218279806236,104543.871408718,104543.871408718,104543.871408718,104543.871408718,104543.855415777,104543.855415777,109074.303966522,109074.303966522,0.0103792482071563,0.0109834450411446,0.0103792482071563,0.0109834450411446,1570772.28431656,1570772.28431656,1596478.12698244,1596478.12698244,-71.7075327838482,-71.7075327838482,-71.7075327838482,-71.7075327838482,-47.7557755775578,-47.7557755775578,-72.2448160135958,-260.293053899353,-72.2448160135958,-72.2448160135958,-72.2448160135958,-72.2448160135958,-72.2448160135958,-72.2448160135958,-68.1782455505711,-68.1782455505711,-68.1782455505711,-68.1782455505711,-68.1782455505711,-68.1782455505711,-68.1782455505711,-68.1782455505711,-45.8457513171573,-45.8457513171573,-45.8457513171573,-45.8457513171573,-45.8457513171573,-45.8457513171573,-45.8457513171573,-45.8457513171573,-48.7479105306143,-48.7479105306143,-48.7479105306143,-48.7479105306143,70.1799590242725,70.1799590242725,70.1799590242726,70.1799590242726
"USA","United States",1948,115309698960,115309698960,1446000,115309681320.121,1446000,120306671114.94,0,0,1,1,0,0,0,1,1,1,149390000,0,1,0,4.3408498764038,5.37147241294195,5.37147241294195,740.221580570398,740.221580570398,783.311361882506,783.311361882506,740.22146733258,783.311242052887,772.299251919444,817.256338751566,4.66962720434507,4.66962720434507,4.59443876286601,4.59443876286601,4.66962648999356,4.59443806001671,4.871986566346,4.79353981657343,79743.913526971,79743.913526971,79743.913526971,79743.913526971,79743.9013278848,79743.9013278848,83199.6342426974,83199.6342426974,0.00928248373864973,0.00982283571545025,0.00928248373864973,0.00982283571545025,1707714.77116566,1707714.77116566,1735661.69107512,1735661.69107512,-30.3234971357067,-30.3234971357067,-30.3234971357067,-30.3234971357067,-8.65445356917246,-8.65445356917246,-31.782269633314,-46.5894562344379,-31.7822696333139,-31.7822696333139,-31.782269633314,-31.7822696333139,-31.782269633314,-31.7822696333139,-29.8388237221508,-29.8388237221508,-29.8388237221507,-29.8388237221507,-29.8388237221508,-29.8388237221507,-29.8388237221508,-29.8388237221507,-23.7220580676513,-23.7220580676513,-23.7220580676513,-23.7220580676513,-23.7220580676513,-23.7220580676513,-23.7220580676513,-23.7220580676513,-10.5668970104246,-10.5668970104244,-10.5668970104246,-10.5668970104244,8.7181629200117,8.7181629200117,8.71816292001162,8.71816292001162
"USA","United States",1949,146237490000,146237490000,1615000,146237467628.841,1615000,152574725047.261,0,0,1,1,0,0,0,1,1,0,151967000,0,1,0,-0.58333301544189,-1.37995632634207,-1.37995632634207,922.71994941751,922.71994941751,976.433326433727,976.433326433727,922.719808261406,976.433177060643,962.706229284973,1018.74728776874,5.67571691947827,5.67571691947827,5.5843288298563,5.5843288298563,5.6757160512169,5.58432797557533,5.92167540919556,5.82632699582588,90549.5294117647,90549.5294117647,90549.5294117647,90549.5294117647,90549.5155596541,90549.5155596541,94473.5139611521,94473.5139611521,0.0101902235761109,0.0107834169075965,0.0101902235761109,0.0107834169075965,1595384.8773009,1595384.8773009,1621493.50746766,1621493.50746766,26.8215001157263,26.8215001157263,26.8215001157263,26.8215001157263,11.6874135546335,11.6874135546335,24.6545593424178,19.7783053202999,24.6545593424174,24.6545593424174,24.6545593424178,24.6545593424174,24.6545593424178,24.6545593424174,21.5453969044261,21.5453969044261,21.5453969044262,21.5453969044262,21.5453969044261,21.5453969044262,21.5453969044261,21.5453969044262,13.5503957692509,13.5503957692509,13.5503957692509,13.5503957692509,13.5503957692509,13.5503957692509,13.5503957692509,13.5503957692509,9.77906197326868,9.77906197326837,9.77906197326868,9.77906197326837,-6.57779014162248,-6.57779014162248,-6.57779014162254,-6.57779014162254
"USA","United States",1950,155053350000,155053350000,1460000,155053326280.206,1460000,158972519268.656,0,0,1,1,0,0,0,1,1,0,154489000,155547240,0,0,8.7497596740723,9.80377352416563,9.80377352416563,962.257423899215,962.257423899215,1018.27235652225,1018.27235652225,962.257276694736,1018.27220074871,986.579695712636,1044.01047651001,6.0531851376977,6.0531851376977,5.9557192080697,5.9557192080697,6.05318421169189,5.95571829697406,6.20618703781238,6.10625753370413,106200.924657534,106200.924657534,106200.924657534,106200.924657534,106200.9084111,106200.9084111,108885.287170312,108885.287170312,0.00906072547863593,0.00958816846280644,0.00906072547863593,0.00958816846280644,1754463.51369863,1754463.51369863,1783175.48136986,1783175.48136986,6.02845412622987,6.02845412622987,6.02845412622987,4.19322022006807,-9.59752321981424,-9.59752321981424,4.2848834585904,4.10882509188578,4.28488345859073,4.28488345859073,4.28488345859041,4.28488345859073,2.47982880981201,2.47982880981232,6.65058218326581,6.65058218326581,6.65058218326571,6.65058218326571,6.6505821832658,6.6505821832657,4.80457993653303,4.80457993653291,17.2848995985351,17.2848995985351,17.2848995985351,17.2848995985351,17.2848995985351,17.2848995985351,15.2548292160342,15.2548292160342,-11.0841346025308,-11.0841346025305,-11.0841346025308,-11.0841346025305,9.97117615072699,9.97117615072699,9.9711761507271,9.9711761507271
"USA","United States",1951,330974180000,330974180000,3249000,330974129368.142,3249000,341811947457.478,0,0,1,1,0,0,0,1,1,0,157113000,158210330,0,0,7.6188797950745,7.61820011304036,7.61820011304036,2027.68017742054,2027.68017742054,2136.99931559034,2136.99931559034,2027.67986722953,2136.99898867587,2094.07667469722,2206.9754739697,11.9574215530688,11.9574215530688,11.8975507820476,11.8975507820476,11.9574197238431,11.8975489619808,12.3489679697204,12.2871367270581,101869.553708833,101869.553708833,101869.553708833,101869.553708833,101869.538125005,101869.538125005,105205.27776469,105205.27776469,0.0199046732178303,0.0209778018827722,0.0199046732178303,0.0209778018827722,851935.789473684,851935.789473684,856222.894736842,856222.894736842,113.458258076978,113.458258076978,113.458258076978,115.013229349302,122.534246575342,122.534246575342,110.721177832442,52.5439250916126,109.865199806554,109.865199806554,110.721177832442,109.865199806554,112.256210400175,111.393996863645,97.5393331124314,97.5393331124314,99.7668185217159,99.7668185217159,97.5393331124314,99.7668185217159,98.978340396156,101.222052283873,-4.07846820794463,-4.07846820794463,-4.07846820794463,-4.07846820794463,-4.07846820794463,-4.07846820794463,-3.37971226531811,-3.37971226531811,119.680788969526,118.788415787097,119.680788969526,118.788415787097,-51.4418064085188,-51.4418064085188,-51.9832510214262,-51.9832510214262
"USA","United States",1952,459857720000,459857720000,3636000,459857649651.76,3636000,477239040689.931,0,0,1,1,0,0,0,1,1,0,159780000,160942880,0,0,3.9777400493622,3.7268875645588,3.7268875645588,2776.03013528279,2776.03013528279,2918.74937322679,2918.74937322679,2776.02971061049,2918.74892672155,2880.95621986883,3029.06984119586,15.9636740709603,15.9636740709603,16.0185991537224,16.0185991537224,15.963671628865,16.0185967032247,16.5670557830622,16.6240568785471,126473.520352035,126473.520352035,126473.520352035,126473.520352035,126473.501004335,126473.501004335,131253.861575889,131253.861575889,0.0219494968397795,0.0230779483729285,0.0219494968397795,0.0230779483729285,792258.221947195,792258.221947195,789541.701732673,789541.701732673,38.9406629846473,38.9406629846473,38.9406629846473,39.6203509677787,11.9113573407202,11.9113573407202,36.9067058106887,26.9575588661978,36.5816709408022,36.5816709408022,36.9067058106887,36.5816709408022,37.576443817912,37.249818900228,33.5043178005482,33.5043178005482,34.6377876183821,34.6377876183821,33.5043178005482,34.6377876183821,34.1574115641443,35.2964262368672,24.152424102618,24.152424102618,24.152424102618,24.152424102618,24.152424102618,24.152424102618,24.7597690578418,24.7597690578418,10.2730831075265,10.0112800277752,10.2730831075265,10.0112800277752,-7.00493725746133,-7.00493725746133,-7.78783111431086,-7.78783111431086
"USA","United States",1953,474873046560,474873046560,3555000,474872973914.742,3555000,493015427447.248,0,0,1,1,0,0,0,1,1,0,162388000,163630490,0,0,4.5885701179504,4.60073827072168,4.60073827072168,2821.15090098975,2821.15090098975,2964.54731159167,2964.54731159167,2821.15046941495,2964.54685808034,2928.9321165313,3077.80694356021,15.7457496939625,15.7457496939625,15.8376379332618,15.8376379332618,15.745747285205,15.8376355104473,16.3473112910515,16.4427100926968,133578.916050633,133578.916050633,133578.916050633,133578.916050633,133578.895615961,133578.895615961,138682.258072362,138682.258072362,0.0211197319487186,0.0221932277880438,0.0211197319487186,0.0221932277880438,848349.037974684,848349.037974684,843427.009845288,843427.009845288,3.26521137016032,3.26521137016032,3.26521137016032,3.30576197926099,-2.22772277227723,-2.22772277227723,1.62537016920241,1.59937441457407,1.56909458499519,1.56909458499519,1.62537016920243,1.56909458499519,1.66527683869705,1.60897915596131,-1.36512669971231,-1.36512669971231,-1.12969441787014,-1.12969441787014,-1.3651266997123,-1.12969441787014,-1.32639435086196,-1.09086961850035,5.61808960391081,5.61808960391081,5.61808960391081,5.61808960391081,5.6180896039108,5.6180896039108,5.65956415094036,5.65956415094036,-3.78033672989342,-3.83361887542197,-3.78033672989342,-3.83361887542197,7.0798654370074,7.0798654370074,6.82488435941537,6.82488435941537
"USA","United States",1954,408178440000,408178440000,3302000,408178377557.567,3302000,425866945974.112,0,0,1,1,0,0,0,1,1,0,165240000,166533640,0,0,-0.67885899543762,-0.656291062405384,-0.656291062405384,2384.49842271293,2384.49842271293,2503.76283537595,2503.76283537595,2384.49805793648,2503.76245235464,2487.83120676546,2612.26397000547,13.6110539827358,13.6110539827358,13.6297685647904,13.6297685647904,13.6110519005403,13.629766479732,14.2008921174682,14.2204177002128,123615.517867959,123615.517867959,123615.517867959,123615.517867959,123615.49895747,123615.49895747,128972.424583317,128972.424583317,0.0192896366397944,0.0202544379424141,0.0192896366397944,0.0202544379424141,908199.453361599,908199.453361599,906952.434887947,906952.434887947,-14.044723540984,-14.044723540984,-14.044723540984,-13.6199554283361,-7.11673699015471,-7.11673699015471,-15.477813615841,-18.3121311432874,-15.5431648674995,-15.5431648674995,-15.477813615841,-15.5431648674995,-15.0601274531494,-15.1258016533105,-13.5572821410037,-13.5572821410037,-13.9406480800678,-13.9406480800678,-13.5572821410037,-13.9406480800678,-13.1301052226138,-13.5153656541755,-7.45881047492368,-7.45881047492368,-7.45881047492368,-7.45881047492368,-7.45881047492368,-7.45881047492368,-7.00149653171864,-7.00149653171864,-8.66533397946478,-8.73595253536824,-8.66533397946478,-8.73595253536824,7.05492818496029,7.05492818496029,7.53182246965401,7.53182246965401
"USA","United States",1955,387757260000,387757260000,2935000,387757200681.564,2935000,403093055906.047,0,0,1,1,0,0,0,1,1,0,168181000,169501140,0,0,7.0900301933289,7.06425398517491,7.06425398517491,2226.54497220819,2226.54497220819,2336.85845321248,2336.85845321248,2226.54463159518,2336.85809572391,2314.60480445844,2429.28118257617,12.0704467578593,12.0704467578593,12.0160902429752,12.0160902429752,12.0704449113432,12.0160884047745,12.5478328111168,12.4913264965915,132114.909710392,132114.909710392,132114.909710392,132114.909710392,132114.889499681,132114.889499681,137340.053119607,137340.053119607,0.0168530938490514,0.0176880751637729,0.0168530938490514,0.0176880751637729,1094532.06132879,1094532.06132879,1099483.33475298,1099483.33475298,-5.0030030983508,-5.0030030983508,-5.00300309835078,-5.34765383492572,-11.114476075106,-11.114476075106,-6.62417928232631,-7.09410555260856,-6.66614184879097,-6.66614184879097,-6.62417928232628,-6.66614184879098,-6.96294836385793,-7.00475868941066,-11.3187944653705,-11.3187944653705,-11.8393670013134,-11.8393670013134,-11.3187944653705,-11.8393670013134,-11.640531402376,-12.1592152922164,6.87566738304793,6.87566738304793,6.87566738304793,6.87566738304793,6.87566738304793,6.87566738304793,6.48792062592002,6.48792062592002,-12.6313565996178,-12.6706195745233,-12.6313565996178,-12.6706195745233,20.516705584605,20.516705584605,21.228334856262,21.228334856262
