"iso3c","year","oil","exporter"
"AFG",1980,0,0
"AFG",1981,0,0
"AFG",1982,0,0
"AFG",1983,0,0
"AFG",1984,0,0
"AFG",1985,0,0
"AFG",1986,0,0
"AFG",1987,0,0
"AFG",1988,0,0
"AFG",1989,0,0
"AFG",1990,0,0
"AFG",1991,0,0
"AFG",1992,0,0
"AFG",1993,0,0
"AFG",1994,0,0
"AFG",1995,0,0
"AFG",1996,2.848,0
"AFG",1997,0.003,0
"AFG",1998,1.714,0
"AFG",1999,0.86,0
"AFG",2000,0.006,0
"AFG",2001,0.082,0
"AFG",2002,2.024,0
"AFG",2003,3.966,0
"AFG",2004,0.597,0
"AFG",2005,0,0
"AFG",2006,0,0
"AFG",2007,0,0
"AFG",2008,0.004,0
"AFG",2009,0,0
"AFG",2010,0,0
"AFG",2011,0,0
"AFG",2012,0,0
"AFG",2013,0,0
"AFG",2014,0,0
"AFG",2015,0,0
"AFG",2016,0,0
"AGO",1980,332.8,0
"AGO",1981,328.3,0
"AGO",1982,345.3,0
"AGO",1983,359.9,0
"AGO",1984,366.4,0
"AGO",1985,363.4,0
"AGO",1986,352.3,0
"AGO",1987,342.4,0
"AGO",1988,422.208,0
"AGO",1989,417.802,0
"AGO",1990,439,0
"AGO",1991,459.9,0
"AGO",1992,508.4,0
"AGO",1993,464.7,0
"AGO",1994,500.6,0
"AGO",1995,566.7,0
"AGO",1996,621.8,0
"AGO",1997,660.7,0
"AGO",1998,698.083,0
"AGO",1999,732.2,0
"AGO",2000,748.6,0
"AGO",2001,693.9,0
"AGO",2002,849.3,0
"AGO",2003,823,0
"AGO",2004,940.9,0
"AGO",2005,1113.971,1
"AGO",2006,1262.84,1
"AGO",2007,1591.176,1
"AGO",2008,1634.82,1
"AGO",2009,1770.41,1
"AGO",2010,1710.69,1
"AGO",2011,1585.429,1
"AGO",2012,1663.25,1
"AGO",2013,1677.064,1
"AGO",2014,1632.16,1
"AGO",2015,1745.524,1
"AGO",2016,1681.354,1
"ALB",1980,0,0
"ALB",1981,0,0
"ALB",1982,0,0
"ALB",1983,0,0
"ALB",1984,0,0
"ALB",1985,0,0
"ALB",1986,0,0
"ALB",1987,0,0
"ALB",1988,0,0
"ALB",1989,0,0
"ALB",1990,0,0
"ALB",1991,0,0
"ALB",1992,0,0
"ALB",1993,0,0
"ALB",1994,0,0
"ALB",1995,0,0
"ALB",1996,0,0
"ALB",1997,0,0
"ALB",1998,0,0
"ALB",1999,0,0
"ALB",2000,0,0
"ALB",2001,0,0
"ALB",2002,0,0
"ALB",2003,0,0
"ALB",2004,0,0
"ALB",2005,0,0
"ALB",2006,1.139,0
"ALB",2007,2.73,0
"ALB",2008,3.273,0
"ALB",2009,6.112,0
"ALB",2010,9.005,0
"ALB",2011,12.603,0
"ALB",2012,17.305,0
"ALB",2013,21.102,0
"ALB",2014,19.113,0
"ALB",2015,17.847,0
"ALB",2016,18.2,0
"ANT",1980,19.581,0
"ANT",1981,9.781,0
"ANT",1982,11.737,0
"ANT",1983,12.774,0
"ANT",1984,3.912,0
"ANT",1985,1.956,0
"ANT",1986,1.956,0
"ANT",1987,10.798,0
"ANT",1988,11.737,0
"ANT",1989,9.781,0
"ANT",1990,13.693,0
"ANT",1991,13.693,0
"ANT",1992,10.759,0
"ANT",1993,18.29,0
"ANT",1994,19.464,0
"ANT",1995,19.757,0
"ANT",1996,20.225,0
"ANT",1997,0.235,0
"ANT",1998,0.357,0
"ANT",1999,1.101,0
"ANT",2000,1.012,0
"ANT",2001,0.97,0
"ANT",2002,0.235,0
"ANT",2003,1.088,0
"ANT",2004,1.94,0
"ANT",2005,1.652,0
"ANT",2006,1.364,0
"ANT",2007,1.561,0
"ANT",2008,1.757,0
"ANT",2009,0.983,0
"ANT",2010,0.571,0
"ANT",2011,3.207,0
"ANT",2012,0.004,0
"ANT",2013,0,0
