"iso3c","year","pko_mission"
"AFG",1946,0
"AFG",1947,0
"AFG",1948,0
"AFG",1949,0
"AFG",1950,0
"AFG",1951,0
"AFG",1952,0
"AFG",1953,0
"AFG",1954,0
"AFG",1955,0
"AFG",1956,0
"AFG",1957,0
"AFG",1958,0
"AFG",1959,0
"AFG",1960,0
"AFG",1961,0
"AFG",1962,0
"AFG",1963,0
"AFG",1964,0
"AFG",1965,0
"AFG",1966,0
"AFG",1967,0
"AFG",1968,0
"AFG",1969,0
"AFG",1970,0
"AFG",1971,0
"AFG",1972,0
"AFG",1973,0
"AFG",1974,0
"AFG",1975,0
"AFG",1976,0
"AFG",1977,0
"AFG",1978,0
"AFG",1979,0
"AFG",1980,0
"AFG",1981,0
"AFG",1982,0
"AFG",1983,0
"AFG",1984,0
"AFG",1985,0
"AFG",1986,0
"AFG",1987,0
"AFG",1988,1
"AFG",1989,1
"AFG",1990,1
"AFG",1991,0
"AFG",1992,0
"AFG",1993,1
"AFG",1994,1
"AFG",1995,1
"AFG",1996,1
"AFG",1997,1
"AFG",1998,1
"AFG",1999,1
"AFG",2000,1
"AFG",2001,1
"AFG",2002,0
"AFG",2003,0
"AFG",2004,0
"AFG",2005,0
"AFG",2006,0
"AFG",2007,0
"AFG",2008,0
"AFG",2009,0
"AFG",2010,0
"AFG",2011,0
"AFG",2012,0
"AFG",2013,0
"AFG",2014,0
"AFG",2015,0
"AFG",2016,0
"AFG",2017,0
"AFG",2018,0
"AFG",2019,0
"AGO",1975,0
"AGO",1976,0
"AGO",1977,0
"AGO",1978,0
"AGO",1979,0
"AGO",1980,0
"AGO",1981,0
"AGO",1982,0
"AGO",1983,0
"AGO",1984,0
"AGO",1985,0
"AGO",1986,0
"AGO",1987,0
"AGO",1988,0
"AGO",1989,1
"AGO",1990,1
"AGO",1991,1
"AGO",1992,1
"AGO",1993,1
"AGO",1994,1
"AGO",1995,1
"AGO",1996,1
"AGO",1997,1
"AGO",1998,1
"AGO",1999,1
"AGO",2000,0
"AGO",2001,0
"AGO",2002,0
"AGO",2003,0
"AGO",2004,0
"AGO",2005,0
"AGO",2006,0
"AGO",2007,0
"AGO",2008,0
"AGO",2009,0
"AGO",2010,0
"AGO",2011,0
"AGO",2012,0
"AGO",2013,0
"AGO",2014,0
"AGO",2015,0
"AGO",2016,0
"AGO",2017,0
"AGO",2018,0
"AGO",2019,0
"ALB",1946,0
"ALB",1947,0
"ALB",1948,0
"ALB",1949,0
"ALB",1950,0
"ALB",1951,0
"ALB",1952,0
"ALB",1953,0
"ALB",1954,0
"ALB",1955,0
"ALB",1956,0
"ALB",1957,0
"ALB",1958,0
"ALB",1959,0
"ALB",1960,0
"ALB",1961,0
"ALB",1962,0
"ALB",1963,0
"ALB",1964,0
"ALB",1965,0
"ALB",1966,0
"ALB",1967,0
"ALB",1968,0
"ALB",1969,0
"ALB",1970,0
"ALB",1971,0
"ALB",1972,0
"ALB",1973,0
"ALB",1974,0
"ALB",1975,0
"ALB",1976,0
"ALB",1977,0
"ALB",1978,0
"ALB",1979,0
"ALB",1980,0
"ALB",1981,0
"ALB",1982,0
"ALB",1983,0
"ALB",1984,0
"ALB",1985,0
"ALB",1986,0
"ALB",1987,0
"ALB",1988,0
"ALB",1989,0
"ALB",1990,0
"ALB",1991,0
"ALB",1992,0
"ALB",1993,0
"ALB",1994,0
"ALB",1995,0
"ALB",1996,0
"ALB",1997,0
"ALB",1998,0
"ALB",1999,0
"ALB",2000,0
"ALB",2001,0
"ALB",2002,0
"ALB",2003,0
"ALB",2004,0
"ALB",2005,0
"ALB",2006,0
"ALB",2007,0
"ALB",2008,0
"ALB",2009,0
"ALB",2010,0
"ALB",2011,0
"ALB",2012,0
"ALB",2013,0
"ALB",2014,0
"ALB",2015,0
"ALB",2016,0
"ALB",2017,0
"ALB",2018,0
"ALB",2019,0
"AND",1946,0
"AND",1947,0
"AND",1948,0
"AND",1949,0
"AND",1950,0
"AND",1951,0
"AND",1952,0
"AND",1953,0
"AND",1954,0
"AND",1955,0
"AND",1956,0
"AND",1957,0
"AND",1958,0
"AND",1959,0
"AND",1960,0
"AND",1961,0
"AND",1962,0
"AND",1963,0
"AND",1964,0
"AND",1965,0
"AND",1966,0
"AND",1967,0
"AND",1968,0
"AND",1969,0
"AND",1970,0
"AND",1971,0
"AND",1972,0
"AND",1973,0
"AND",1974,0
"AND",1975,0
"AND",1976,0
"AND",1977,0
"AND",1978,0
"AND",1979,0
"AND",1980,0
"AND",1981,0
"AND",1982,0
"AND",1983,0
"AND",1984,0
"AND",1985,0
"AND",1986,0
"AND",1987,0
"AND",1988,0
"AND",1989,0
"AND",1990,0
"AND",1991,0
"AND",1992,0
"AND",1993,0
"AND",1994,0
"AND",1995,0
"AND",1996,0
"AND",1997,0
"AND",1998,0
"AND",1999,0
"AND",2000,0
"AND",2001,0
"AND",2002,0
"AND",2003,0
"AND",2004,0
"AND",2005,0
"AND",2006,0
"AND",2007,0
"AND",2008,0
"AND",2009,0
"AND",2010,0
"AND",2011,0
"AND",2012,0
"AND",2013,0
"AND",2014,0
"AND",2015,0
"AND",2016,0
"AND",2017,0
"AND",2018,0
"AND",2019,0
"ARE",1971,0
"ARE",1972,0
"ARE",1973,0
"ARE",1974,0
"ARE",1975,0
"ARE",1976,0
"ARE",1977,0
"ARE",1978,0
"ARE",1979,0
"ARE",1980,0
"ARE",1981,0
"ARE",1982,0
"ARE",1983,0
"ARE",1984,0
"ARE",1985,0
"ARE",1986,0
"ARE",1987,0
"ARE",1988,0
"ARE",1989,0
"ARE",1990,0
"ARE",1991,0
"ARE",1992,0
"ARE",1993,0
"ARE",1994,0
"ARE",1995,0
"ARE",1996,0
"ARE",1997,0
"ARE",1998,0
"ARE",1999,0
"ARE",2000,0
"ARE",2001,0
"ARE",2002,0
"ARE",2003,0
"ARE",2004,0
"ARE",2005,0
"ARE",2006,0
"ARE",2007,0
"ARE",2008,0
"ARE",2009,0
"ARE",2010,0
"ARE",2011,0
"ARE",2012,0
"ARE",2013,0
"ARE",2014,0
"ARE",2015,0
"ARE",2016,0
"ARE",2017,0
"ARE",2018,0
"ARE",2019,0
"ARG",1946,0
"ARG",1947,0
"ARG",1948,0
"ARG",1949,0
"ARG",1950,0
"ARG",1951,0
"ARG",1952,0
"ARG",1953,0
"ARG",1954,0
"ARG",1955,0
"ARG",1956,0
"ARG",1957,0
"ARG",1958,0
"ARG",1959,0
"ARG",1960,0
"ARG",1961,0
"ARG",1962,0
"ARG",1963,0
"ARG",1964,0
"ARG",1965,0
"ARG",1966,0
"ARG",1967,0
"ARG",1968,0
"ARG",1969,0
"ARG",1970,0
"ARG",1971,0
"ARG",1972,0
"ARG",1973,0
"ARG",1974,0
"ARG",1975,0
"ARG",1976,0
"ARG",1977,0
"ARG",1978,0
"ARG",1979,0
"ARG",1980,0
"ARG",1981,0
"ARG",1982,0
"ARG",1983,0
"ARG",1984,0
"ARG",1985,0
"ARG",1986,0
"ARG",1987,0
"ARG",1988,0
"ARG",1989,0
"ARG",1990,0
"ARG",1991,0
"ARG",1992,0
"ARG",1993,0
"ARG",1994,0
"ARG",1995,0
"ARG",1996,0
"ARG",1997,0
"ARG",1998,0
"ARG",1999,0
"ARG",2000,0
"ARG",2001,0
"ARG",2002,0
"ARG",2003,0
"ARG",2004,0
"ARG",2005,0
"ARG",2006,0
"ARG",2007,0
"ARG",2008,0
"ARG",2009,0
"ARG",2010,0
"ARG",2011,0
"ARG",2012,0
"ARG",2013,0
"ARG",2014,0
"ARG",2015,0
"ARG",2016,0
"ARG",2017,0
"ARG",2018,0
"ARG",2019,0
"ARM",1991,0
"ARM",1992,0
"ARM",1993,0
"ARM",1994,0
"ARM",1995,0
"ARM",1996,0
"ARM",1997,0
"ARM",1998,0
"ARM",1999,0
"ARM",2000,0
"ARM",2001,0
"ARM",2002,0
"ARM",2003,0
"ARM",2004,0
"ARM",2005,0
"ARM",2006,0
"ARM",2007,0
"ARM",2008,0
"ARM",2009,0
"ARM",2010,0
"ARM",2011,0
"ARM",2012,0
"ARM",2013,0
"ARM",2014,0
"ARM",2015,0
"ARM",2016,0
"ARM",2017,0
"ARM",2018,0
"ARM",2019,0
"ATG",1981,0
"ATG",1982,0
"ATG",1983,0
"ATG",1984,0
"ATG",1985,0
"ATG",1986,0
"ATG",1987,0
"ATG",1988,0
"ATG",1989,0
"ATG",1990,0
"ATG",1991,0
"ATG",1992,0
"ATG",1993,0
"ATG",1994,0
"ATG",1995,0
"ATG",1996,0
"ATG",1997,0
"ATG",1998,0
"ATG",1999,0
"ATG",2000,0
"ATG",2001,0
"ATG",2002,0
"ATG",2003,0
"ATG",2004,0
"ATG",2005,0
"ATG",2006,0
"ATG",2007,0
"ATG",2008,0
"ATG",2009,0
"ATG",2010,0
"ATG",2011,0
"ATG",2012,0
"ATG",2013,0
"ATG",2014,0
"ATG",2015,0
"ATG",2016,0
"ATG",2017,0
"ATG",2018,0
"ATG",2019,0
"AUS",1946,0
"AUS",1947,0
"AUS",1948,0
"AUS",1949,0
"AUS",1950,0
"AUS",1951,0
"AUS",1952,0
"AUS",1953,0
"AUS",1954,0
"AUS",1955,0
"AUS",1956,0
"AUS",1957,0
"AUS",1958,0
"AUS",1959,0
"AUS",1960,0
"AUS",1961,0
"AUS",1962,0
"AUS",1963,0
"AUS",1964,0
"AUS",1965,0
"AUS",1966,0
"AUS",1967,0
"AUS",1968,0
"AUS",1969,0
"AUS",1970,0
"AUS",1971,0
"AUS",1972,0
"AUS",1973,0
"AUS",1974,0
"AUS",1975,0
"AUS",1976,0
"AUS",1977,0
"AUS",1978,0
"AUS",1979,0
"AUS",1980,0
"AUS",1981,0
"AUS",1982,0
"AUS",1983,0
"AUS",1984,0
"AUS",1985,0
"AUS",1986,0
"AUS",1987,0
"AUS",1988,0
"AUS",1989,0
"AUS",1990,0
"AUS",1991,0
"AUS",1992,0
"AUS",1993,0
"AUS",1994,0
"AUS",1995,0
"AUS",1996,0
"AUS",1997,0
"AUS",1998,0
"AUS",1999,0
"AUS",2000,0
"AUS",2001,0
"AUS",2002,0
"AUS",2003,0
"AUS",2004,0
"AUS",2005,0
"AUS",2006,0
"AUS",2007,0
"AUS",2008,0
"AUS",2009,0
"AUS",2010,0
"AUS",2011,0
"AUS",2012,0
"AUS",2013,0
"AUS",2014,0
"AUS",2015,0
"AUS",2016,0
"AUS",2017,0
"AUS",2018,0
"AUS",2019,0
"AUT",1955,0
"AUT",1956,0
"AUT",1957,0
"AUT",1958,0
"AUT",1959,0
"AUT",1960,0
"AUT",1961,0
"AUT",1962,0
"AUT",1963,0
"AUT",1964,0
"AUT",1965,0
