"iso3c","year","un.pop","cow.pop","mpd.pop","gl.pop","un.pop.estimated","cow.pop.estimated","pop.growth.rate.un","pop.growth.rate.cow"
"AFG",1946,NA,8549000,0,0,1,1,NA,NA
"AFG",1947,NA,8649000,0,0,1,1,NA,1.16972745350333
"AFG",1948,NA,8751000,0,0,1,1,NA,1.17932708983698
"AFG",1949,NA,8854000,0,0,1,1,NA,1.17700834190378
"AFG",1950,7752000,8958000,8150000,8958000,1,1,NA,1.17461034560651
"AFG",1951,7840000,9093000,8284000,9093000,1,1,1.13519091847265,1.50703281982585
"AFG",1952,7935000,9238000,8425000,9238000,1,1,1.21173469387755,1.5946332343561
"AFG",1953,8039000,9393000,8573000,9393000,1,1,1.31064902331443,1.67785234899329
"AFG",1954,8150000,9558000,8728000,9558000,1,1,1.38076875233238,1.75662727563079
"AFG",1955,8271000,9734000,8891000,9734000,1,1,1.48466257668712,1.84138941201088
"AFG",1956,8399000,9921000,9062000,9921000,1,1,1.54757586748882,1.92110129443189
"AFG",1957,8536000,10119000,9241000,10119000,1,1,1.63114656506727,1.99576655579075
"AFG",1958,8681000,10327000,9429000,10327000,1,1,1.69868791002812,2.05553908488981
"AFG",1959,8834000,10546000,9625000,10546000,1,1,1.76246976154821,2.12065459475162
"AFG",1960,8996000,10775000,9829000,10775000,1,1,1.83382386235001,2.17143940830647
"AFG",1961,9167000,11014000,10043000,11014000,1,1,1.90084481991996,2.21809744779582
"AFG",1962,9346000,11262000,10267000,11262000,1,1,1.95265626704483,2.25167968040676
"AFG",1963,9534000,11521000,10501000,11521000,1,1,2.01155574577359,2.29976913514473
"AFG",1964,9731000,11791000,10744000,11791000,1,1,2.06628907069436,2.34354656713827
"AFG",1965,9938000,12071000,10998000,12071000,1,1,2.12722227931353,2.37469256212365
"AFG",1966,10152000,12358000,11262000,12358000,1,1,2.15335077480378,2.37759920470549
"AFG",1967,10373000,12652000,11538000,12652000,1,1,2.1769109535067,2.37902573231915
"AFG",1968,10604000,12957000,11825000,12957000,1,1,2.22693531283139,2.41068605754031
"AFG",1969,10854000,13280000,12123000,13280000,1,1,2.35760090531875,2.4928610017751
"AFG",1970,11126000,13623000,12431000,13623000,1,1,2.50598857564032,2.5828313253012
"AFG",1971,11418000,13984000,12749000,13984000,1,1,2.62448319252202,2.64993026499303
"AFG",1972,11722000,14356000,13079000,14356000,1,1,2.66246277806971,2.66018306636156
"AFG",1973,12028000,14724000,13421000,14724000,1,1,2.61047602798157,2.56338813039844
"AFG",1974,12322000,15070000,13772000,15070000,1,1,2.4442966411706,2.34990491714208
"AFG",1975,12590000,15378000,14132000,15378000,1,1,2.17497159552021,2.04379562043796
"AFG",1976,12840000,15653000,14501000,15653000,1,1,1.98570293884035,1.78826895565093
"AFG",1977,13068000,15892000,14880000,15892000,1,1,1.77570093457944,1.52686385996295
"AFG",1978,13238000,16064000,15269000,16064000,1,1,1.30088766452403,1.08230556254719
"AFG",1979,13307000,16128000,15556000,16128000,1,1,0.521226771415622,0.398406374501992
"AFG",1980,13248000,16063000,15044000,16063000,1,1,-0.443375666942211,-0.403025793650794
"AFG",1981,13054000,15862000,13676000,15862000,1,1,-1.46437198067633,-1.25132291601818
"AFG",1982,12750000,15549000,12583000,15549000,1,1,-2.32878811092385,-1.9732694489976
"AFG",1983,12389000,15177000,12439000,15177000,1,1,-2.83137254901961,-2.39243681265676
"AFG",1984,12047000,14814000,12769000,14814000,1,1,-2.76051335862459,-2.3917770310338
"AFG",1985,11783000,14519000,13120000,14519000,1,1,-2.19141695027808,-1.99135952477386
"AFG",1986,11601000,14300000,13126000,14300000,1,1,-1.54459814987694,-1.50836834492734
"AFG",1987,11503000,14165000,13056000,14165000,1,1,-0.844754762520472,-0.944055944055944
"AFG",1988,11541000,14162000,13169000,14162000,1,1,0.330348604711814,-0.0211789622308507
"AFG",1989,11778000,14346000,13503000,14346000,1,1,2.05354821939173,1.29925151814715
"AFG",1990,12249000,14754000,13568000,14754000,1,1,3.99898115129903,2.84399832705981
"AFG",1991,12994000,15403000,13672000,15403000,1,1,6.08212915340028,4.39880710315847
"AFG",1992,13981000,16276000,15023000,16276000,1,1,7.59581345236263,5.66772706615594
"AFG",1993,15095000,17322000,17003000,17322000,1,1,7.9679565124097,6.42664045219956
"AFG",1994,16173000,18470000,18486000,18470000,1,1,7.14143756210666,6.62741022976562
"AFG",1995,17100000,19661000,19445000,19661000,1,1,5.73177518085698,6.44829453167298
"AFG",1996,17823000,20883000,20111000,20883000,1,1,4.2280701754386,6.21535018564671
"AFG",1997,18382000,22132000,20769000,22132000,1,1,3.13639679066375,5.98094143561749
"AFG",1998,18864000,21354000,21452000,21354000,1,1,2.62213034490262,-3.51527200433761
"AFG",1999,19404000,21923000,22206000,21923000,1,1,2.86259541984733,2.66460616277981
"AFG",2000,20094000,22720000,22461000,22720000,1,1,3.55596784168213,3.63545135246089
"AFG",2001,20966000,22080000,22507000,22080000,1,1,4.33960386184931,-2.8169014084507
"AFG",2002,21980000,22203000,23600000,22930000,1,1,4.83640179337976,0.557065217391304
"AFG",2003,23065000,23116000,25005000,22842000,1,1,4.93630573248408,4.1120569292438
"AFG",2004,24119000,24019000,25698000,22753000,1,1,4.56969434207674,3.90638518774875
"AFG",2005,25071000,24861000,26335000,22665000,1,1,3.94709565073179,3.50555809983763
"AFG",2006,25893000,25631000,27154000,22576000,1,1,3.27868852459016,3.09722054623708
"AFG",2007,26617000,26349000,27387000,22488000,1,1,2.7961225041517,2.80129530646483
"AFG",2008,27294000,27032000,27706000,23511000,1,1,2.5434872449938,2.59212873353827
"AFG",2009,28004000,27708000,28484000,23994000,1,1,2.60130431596688,2.50073986386505
"AFG",2010,28803000,28398000,29121000,24486000,1,1,2.85316383373804,2.49025552187094
"AFG",2011,29709000,29105000,29758000,24988090,1,1,3.14550567649203,2.48961194450313
"AFG",2012,30697000,29825000,30420000,0,1,1,3.32559157157764,2.47380175227624
"AFG",2013,31732000,NA,31108000,0,1,1,3.37166498354888,NA
"AFG",2014,32758000,NA,31823000,0,1,1,3.23332913147611,NA
"AFG",2015,33736000,NA,32564000,0,1,1,2.98553025215215,NA
"AFG",2016,34656000,NA,33332000,0,1,1,2.72705714963244,NA
"AFG",2017,35530000,NA,0,0,1,1,2.5219298245614,NA
"AFG",2018,36373000,NA,0,0,1,1,2.37264283703912,NA
"AFG",2019,37209000,NA,0,0,1,1,2.29840815989883,NA
"AGO",1950,4548000,NA,4118000,0,1,1,NA,NA
"AGO",1951,4659000,NA,4173000,0,1,1,2.44063324538259,NA
"AGO",1952,4775000,NA,4232000,0,1,1,2.48980467911569,NA
"AGO",1953,4890000,NA,4294000,0,1,1,2.40837696335079,NA
"AGO",1954,5005000,NA,4358000,0,1,1,2.35173824130879,NA
"AGO",1955,5116000,NA,4423000,0,1,1,2.21778221778222,NA
"AGO",1956,5224000,NA,4491000,0,1,1,2.11102423768569,NA
"AGO",1957,5329000,NA,4561000,0,1,1,2.00995405819296,NA
"AGO",1958,5433000,NA,4636000,0,1,1,1.95158566335147,NA
"AGO",1959,5537000,NA,4715000,0,1,1,1.91422786674029,NA
"AGO",1960,5643000,NA,4797000,0,1,1,1.91439407621456,NA
"AGO",1961,5753000,NA,4752000,0,1,1,1.94931773879142,NA
"AGO",1962,5866000,NA,4826000,0,1,1,1.96419259516774,NA
"AGO",1963,5980000,NA,4920000,0,1,1,1.94340265939311,NA
"AGO",1964,6093000,NA,5026000,0,1,1,1.88963210702341,NA
"AGO",1965,6203000,NA,5135000,0,1,1,1.80535040210077,NA
"AGO",1966,6310000,NA,5201000,0,1,1,1.72497178784459,NA
"AGO",1967,6415000,NA,5247000,0,1,1,1.66402535657686,NA
"AGO",1968,6524000,NA,5350000,0,1,1,1.69914263445051,NA
"AGO",1969,6643000,NA,5472000,0,1,1,1.82403433476395,NA
"AGO",1970,6776000,NA,5606000,0,1,1,2.00210748155954,NA
"AGO",1971,6927000,NA,5753000,0,1,1,2.228453364817,NA
"AGO",1972,7095000,NA,5895000,0,1,1,2.42529233434387,NA
