"iso3c","year","land_area","cn","yrs_since_indep","mpd.pop","gl.pop","un.pop.estimated","cow.pop.estimated","pop.per.km.un","pop.per.km.cow"
"AFG",1961,652230,1,42,10043000,11014000,1,1,14.0548579488831,16.8866810787606
"AFG",1962,652230,1,43,10267000,11262000,1,1,14.3293010134462,17.2669150453061
"AFG",1963,652230,1,44,10501000,11521000,1,1,14.6175428913113,17.6640142281097
"AFG",1964,652230,1,45,10744000,11791000,1,1,14.9195835824786,18.0779786271714
"AFG",1965,652230,1,46,10998000,12071000,1,1,15.2369562884259,18.5072750410131
"AFG",1966,652230,1,47,11262000,12358000,1,1,15.5650614047192,18.9473038652009
"AFG",1967,652230,1,48,11538000,12652000,1,1,15.9038989313586,19.3980650997348
"AFG",1968,652230,1,49,11825000,12957000,1,1,16.258068472778,19.8656915505267
"AFG",1969,652230,1,50,12123000,13280000,1,1,16.6413688422796,20.3609156279227
"AFG",1970,652230,1,51,12431000,13623000,1,1,17.0583996442973,20.8868037348788
"AFG",1971,652230,1,52,12749000,13984000,1,1,17.5060944758751,21.440289468439
"AFG",1972,652230,1,53,13079000,14356000,1,1,17.972187725189,22.0106404182574
"AFG",1973,652230,1,54,13421000,14724000,1,1,18.4413473774589,22.5748585621637
"AFG",1974,652230,1,55,13772000,15070000,1,1,18.8921086119927,23.1053462735538
"AFG",1975,652230,1,56,14132000,15378000,1,1,19.3030066080984,23.5775723287797
"AFG",1976,652230,1,57,14501000,15653000,1,1,19.6863069775999,23.9992027352314
"AFG",1977,652230,1,58,14880000,15892000,1,1,20.0358769145853,24.3656378884749
"AFG",1978,652230,1,59,15269000,16064000,1,1,20.2965211658464,24.629348542692
"AFG",1979,652230,1,60,15556000,16128000,1,1,20.4023120678288,24.7274734372844
"AFG",1980,652230,1,61,15044000,16063000,1,1,20.3118531806265,24.627815341214
"AFG",1981,652230,1,62,13676000,15862000,1,1,20.0144120938933,24.3196418441347
"AFG",1982,652230,1,63,12583000,15549000,1,1,19.5483188445794,23.8397497815188
"AFG",1983,652230,1,64,12439000,15177000,1,1,18.9948331110191,23.2693988317005
"AFG",1984,652230,1,65,12769000,14814000,1,1,18.470478205541,22.7128466951842
"AFG",1985,652230,1,66,13120000,14519000,1,1,18.0657130153473,22.2605522591724
"AFG",1986,652230,1,67,13126000,14300000,1,1,17.7866703463502,21.924781135489
"AFG",1987,652230,1,68,13056000,14165000,1,1,17.6364166015056,21.7177989359582
"AFG",1988,652230,1,69,13169000,14162000,1,1,17.6946782576698,21.7131993315242
"AFG",1989,652230,1,70,13503000,14346000,1,1,18.0580470079573,21.9953084034773
"AFG",1990,652230,1,71,13568000,14754000,1,1,18.7801849040982,22.6208546065038
"AFG",1991,652230,1,72,13672000,15403000,1,1,19.9224200052129,23.6159023657299
"AFG",1992,652230,1,73,15023000,16276000,1,1,21.435689864005,24.9543872560293
"AFG",1993,652230,1,74,17003000,17322000,1,1,23.143676310504,26.5581160020238
"AFG",1994,652230,1,75,18486000,18470000,1,1,24.7964675037947,28.318231298775
"AFG",1995,652230,1,76,19445000,19661000,1,1,26.2177452739064,30.1442742590804
"AFG",1996,652230,1,77,20111000,20883000,1,1,27.3262499425049,32.017846465204
"AFG",1997,652230,1,78,20769000,22132000,1,1,28.1833095687104,33.9328151112338
"AFG",1998,652230,1,79,21452000,21354000,1,1,28.9223126811094,32.7399843613449
"AFG",1999,652230,1,80,22206000,21923000,1,1,29.7502414792328,33.6123760023305
"AFG",2000,652230,1,81,22461000,22720000,1,1,30.8081504990571,34.8343375803014
"AFG",2001,652230,1,82,22507000,22080000,1,1,32.1451021878785,33.8530886343774
"AFG",2002,652230,1,83,23600000,22930000,1,1,33.6997684865768,34.0416724161722
"AFG",2003,652230,1,84,25005000,22842000,1,1,35.3632920902136,35.4414853655919
"AFG",2004,652230,1,85,25698000,22753000,1,1,36.9792864480321,36.8259663002315
"AFG",2005,652230,1,86,26335000,22665000,1,1,38.4388942550941,38.1169219447128
"AFG",2006,652230,1,87,27154000,22576000,1,1,39.6991858700152,39.2974870827776
"AFG",2007,652230,1,88,27387000,22488000,1,1,40.8092237400917,40.398325743986
"AFG",2008,652230,1,89,27706000,23511000,1,1,41.8472011407019,41.4455023534643
"AFG",2009,652230,1,90,28484000,23994000,1,1,42.9357741900863,42.4819465525965
"AFG",2010,652230,1,91,29121000,24486000,1,1,44.1608021710133,43.5398555724208
"AFG",2011,652230,1,92,29758000,24988090,1,1,45.5498827100869,44.6238290173712
"AFG",2012,652230,1,93,30420000,0,1,1,47.0646857703571,45.7277340815357
"AFG",2013,652230,1,94,31108000,0,1,1,48.6515493000935,NA
"AFG",2014,652230,1,95,31823000,0,1,1,50.2246140165279,NA
"AFG",2015,652230,1,96,32564000,0,1,1,51.724085062018,NA
"AFG",2016,652230,1,97,33332000,0,1,1,53.1346304217837,NA
"AFG",2017,652230,1,98,0,0,1,1,54.4746485135612,NA
"AFG",2018,652230,1,99,0,0,1,1,55.7671373595204,NA
"AFG",2019,652230,1,100,0,0,1,1,57.0488937951336,NA
"AGO",1961,1246700,0,0,4752000,0,1,1,4.61458249779418,NA
"AGO",1962,1246700,0,0,4826000,0,1,1,4.70522178551376,NA
"AGO",1963,1246700,0,0,4920000,0,1,1,4.79666319082378,NA
"AGO",1964,1246700,0,0,5026000,0,1,1,4.88730247854335,NA
"AGO",1965,1246700,0,0,5135000,0,1,1,4.97553541349162,NA
"AGO",1966,1246700,0,0,5201000,0,1,1,5.06136199566857,NA
"AGO",1967,1246700,0,0,5247000,0,1,1,5.14558434266463,NA
"AGO",1968,1246700,0,0,5350000,0,1,1,5.23301516002246,NA
"AGO",1969,1246700,0,0,5472000,0,1,1,5.32846715328467,NA
"AGO",1970,1246700,0,0,5606000,0,1,1,5.43514879281303,NA
"AGO",1971,1246700,0,0,5753000,0,1,1,5.55626854896928,NA
"AGO",1972,1246700,0,0,5895000,0,1,1,5.69102430416299,NA
"AGO",1973,1246700,0,0,6026000,0,1,1,5.83781182321328,NA
"AGO",1974,1246700,0,0,5987000,0,1,1,5.99502687093928,NA
"AGO",1975,1246700,1,0,5885000,6637420,1,1,6.16186732975054,4.91136600625652
"AGO",1976,1246700,1,1,5943000,6808850,1,1,6.33753108205663,5.03489211518409
"AGO",1977,1246700,1,2,6164000,6989990,1,1,6.52201812785754,5.17365845832999
"AGO",1978,1246700,1,3,6287000,7185190,1,1,6.71853693751504,5.3228523301516
"AGO",1979,1246700,1,4,6453000,7400230,1,1,6.93190021657175,5.47685890751584
"AGO",1980,1246700,1,5,6743000,7638420,1,1,7.16291008261811,5.63006336728964
"AGO",1981,1246700,1,6,6880000,7903370,1,1,7.41557712360632,5.78246570947301
"AGO",1982,1246700,1,7,7019000,8191770,1,1,7.68589075158418,5.93486805165637
"AGO",1983,1246700,1,8,7241000,8491680,1,1,7.96663190823775,6.08967674661105
"AGO",1984,1246700,1,9,7442000,8786650,1,1,8.24336247693912,6.25090238228924
"AGO",1985,1246700,1,10,7585000,9065560,1,1,8.50966551696479,6.41934707628138
"AGO",1986,1246700,1,11,7749000,9322550,1,1,8.75992620518168,6.59741718135879
"AGO",1987,1246700,1,12,7878000,9562800,1,1,8.99815512954199,6.78350846234058
"AGO",1988,1246700,1,13,8023000,9799680,1,1,9.23558193631186,6.9784230368172
"AGO",1989,1246700,1,14,8154000,10052570,1,1,9.4866447421192,7.81182321328307
"AGO",1990,1246700,1,15,8297000,10335050,1,1,9.76257319323013,8.03721825619636
"AGO",1991,1246700,1,16,8519000,10653520,1,1,10.0689821127777,7.63214887302479
"AGO",1992,1246700,1,17,8761000,11002910,1,1,10.4018609128098,8.50966551696479
"AGO",1993,1246700,1,18,9035000,11371750,1,1,10.7515841822411,8.12785754391594
"AGO",1994,1246700,1,19,9323000,11742960,1,1,11.1021095692629,8.39496270153204
"AGO",1995,1246700,1,20,9621000,12105110,1,1,11.4454158979706,8.67570385818561
"AGO",1996,1246700,1,21,9916000,12452720,1,1,11.7766904628219,8.97168524905751
"AGO",1997,1246700,1,22,10207000,12792240,1,1,12.1031523221304,9.279698403786
"AGO",1998,1246700,1,23,10508000,13138270,1,1,12.4360311221625,9.69920590358547
"AGO",1999,1246700,1,24,10809000,13511580,1,1,12.7937755674982,10.0096254110853
"AGO",2000,1246700,1,25,11093000,13926370,1,1,13.1876153044036,10.3296703296703
"AGO",2001,1246700,1,26,11369000,14388240,1,1,13.6223630384214,10.3336809176225
"AGO",2002,1246700,1,27,11690000,14890470,1,1,14.0956124167803,11.9411245688618
"AGO",2003,1246700,1,28,12084000,15419940,1,1,14.6009464987567,12.3694553621561
"AGO",2004,1246700,1,29,12521000,15957460,1,1,15.1327504612176,12.81543274244
"AGO",2005,1246700,1,30,12919000,16489020,1,1,15.683805245849,13.2702334162188
"AGO",2006,1246700,1,31,13297000,17010370,1,1,16.2525066174701,13.7338573834924
"AGO",2007,1246700,1,32,13690000,17525370,1,1,16.842865164033,14.2079088794417
"AGO",2008,1246700,1,33,14084000,18037960,1,1,17.4532766503569,14.6899815512954
"AGO",2009,1246700,1,34,14489000,18555120,1,1,18.087751664394,15.1816796342344
"AGO",2010,1246700,1,35,14907000,19081910,1,1,18.7446859709633,15.6805967754873
"AGO",2011,1246700,1,36,15346000,19618430,1,1,19.4264859228363,16.1867329750541
"AGO",2012,1246700,1,37,15793000,0,1,1,20.1299430496511,16.7008903505254
"AGO",2013,1246700,1,38,16239000,0,1,1,20.8534531162268,NA
"AGO",2014,1246700,1,39,16696000,0,1,1,21.5930055346114,NA
"AGO",2015,1246700,1,40,17166000,0,1,1,22.3461939520334,NA
"AGO",2016,1246700,1,41,17644000,0,1,1,23.1114141333119,NA
"AGO",2017,1246700,1,42,0,0,1,1,23.890270313628,NA
"AGO",2018,1246700,1,43,0,0,1,1,24.6843667281623,NA
"AGO",2019,1246700,1,44,0,0,1,1,25.4977139648672,NA
"ALB",1961,27400,1,17,1677000,1660000,1,1,61.5328467153285,60.5839416058394
"ALB",1962,27400,1,18,1728000,1712000,1,1,63.4306569343066,62.4817518248175
"ALB",1963,27400,1,19,1780000,1764000,1,1,65.3649635036496,64.3795620437956
"ALB",1964,27400,1,20,1832000,1817000,1,1,67.2992700729927,66.3138686131387
"ALB",1965,27400,1,21,1884000,1870000,1,1,69.1970802919708,68.2481751824817
"ALB",1966,27400,1,22,1933000,1923000,1,1,71.0948905109489,70.1824817518248
"ALB",1967,27400,1,23,1984000,1965000,1,1,72.956204379562,71.7153284671533
"ALB",1968,27400,1,24,2039000,2019000,1,1,74.7810218978102,73.6861313868613
"ALB",1969,27400,1,25,2100000,2080000,1,1,76.6423357664234,75.9124087591241
"ALB",1970,27400,1,26,2157000,2135600,1,1,78.5036496350365,77.956204379562
"ALB",1971,27400,1,27,2209000,2188650,1,1,80.3649635036496,79.8175182481752
"ALB",1972,27400,1,28,2264000,2241620,1,1,82.2627737226277,81.8248175182482
"ALB",1973,27400,1,29,2296000,2294580,1,1,84.1605839416058,83.7226277372263
"ALB",1974,27400,1,30,2348000,2347610,1,1,86.058394160584,85.6569343065693
"ALB",1975,27400,1,31,2401000,2400800,1,1,87.992700729927,87.6277372262774
"ALB",1976,27400,1,32,2455000,2454250,1,1,89.9270072992701,89.5620437956204
"ALB",1977,27400,1,33,2509000,2508030,1,1,91.8978102189781,91.5328467153285
"ALB",1978,27400,1,34,2563000,2562120,1,1,93.8686131386861,93.5401459854015
"ALB",1979,27400,1,35,2618000,2616530,1,1,95.8394160583942,95.5109489051095
"ALB",1980,27400,1,36,2671000,2671300,1,1,97.8467153284672,97.4452554744526
"ALB",1981,27400,1,37,2724000,2725030,1,1,99.8175182481752,99.4160583941606
"ALB",1982,27400,1,38,2780000,2777590,1,1,101.751824817518,101.459854014599
"ALB",1983,27400,1,39,2837000,2831680,1,1,103.759124087591,103.576642335766
"ALB",1984,27400,1,40,2896000,2891000,1,1,105.912408759124,105.729927007299
"ALB",1985,27400,1,41,2957000,2957390,1,1,108.284671532847,107.919708029197
"ALB",1986,27400,1,42,3015000,3033390,1,1,110.985401459854,110.07299270073
"ALB",1987,27400,1,43,3075000,3116010,1,1,113.905109489051,112.262773722628
"ALB",1988,27400,1,44,3137000,3194850,1,1,116.678832116788,114.525547445255
"ALB",1989,27400,1,45,3196000,3255860,1,1,118.759124087591,116.751824817518
"ALB",1990,27400,1,46,3251000,3289480,1,1,119.744525547445,118.832116788321
"ALB",1991,27400,1,47,3187000,3291690,1,1,119.525547445255,118.795620437956
