"iso3c","year","shec"
"ALB",1970,39.49
"ALB",1971,38.91
"ALB",1972,38.38
"ALB",1973,37.81
"ALB",1974,37.35
"ALB",1975,36.93
"ALB",1976,36.52
"ALB",1977,36.14
"ALB",1978,35.78
"ALB",1979,35.42
"ALB",1980,35.07
"ALB",1981,34.79
"ALB",1982,34.42
"ALB",1983,34.04
"ALB",1984,33.78
"ALB",1985,33.66
"ALB",1986,33.56
"ALB",1987,33.45
"ALB",1988,33.4
"ALB",1989,33.37
"ALB",1990,33.11
"ALB",1991,32.85
"ALB",1992,33.3
"ALB",1993,34.05
"ALB",1994,34.62
"ALB",1995,34.99
"ALB",1996,35.24
"ALB",1997,35.42
"ALB",1998,35.79
"ALB",1999,36.04
"ALB",2000,36.97
"ALB",2001,35.78
"ALB",2002,35.44
"ALB",2003,35.16
"ALB",2004,34.75
"ALB",2005,34.27
"ALB",2006,33.64
"ALB",2007,32.9
"ALB",2008,32.06
"DZA",1963,35.91
"DZA",1964,36.1
"DZA",1965,36.44
"DZA",1966,36.75
"DZA",1967,37.24
"DZA",1968,37.41
"DZA",1969,37.38
"DZA",1970,37.09
"DZA",1971,36.58
"DZA",1972,36.46
"DZA",1973,36.17
"DZA",1974,35.58
"DZA",1975,34.68
"DZA",1976,33.77
"DZA",1977,33.11
"DZA",1978,32.25
"DZA",1979,31.27
"DZA",1980,30.62
"DZA",1981,30.1
"DZA",1982,29.62
"DZA",1983,29.2
"DZA",1984,28.83
"DZA",1985,28.51
"DZA",1986,28.32
"DZA",1987,28.36
"DZA",1988,28.55
"DZA",1989,28.72
"DZA",1990,28.84
"DZA",1991,28.99
"DZA",1992,29.21
"DZA",1993,29.53
"DZA",1994,29.86
"DZA",1995,30.18
"DZA",1996,30.52
"DZA",1997,30.85
"DZA",1998,31.18
"DZA",1999,31.37
"DZA",2000,31.57
"DZA",2001,31.82
"DZA",2002,31.92
"DZA",2003,31.91
"DZA",2004,31.84
"DZA",2005,31.67
"DZA",2006,31.45
"DZA",2007,31.2
"DZA",2008,30.87
"AGO",1976,38.98
"AGO",1977,38.88
"AGO",1978,38.68
"AGO",1979,38.5
"AGO",1980,39.26
"AGO",1981,39.04
"AGO",1982,38.83
"AGO",1983,38.85
"AGO",1984,38.58
"AGO",1985,38.94
"AGO",1986,39.21
"AGO",1987,39.62
"AGO",1988,39.83
"AGO",1989,40.42
"AGO",1990,40.89
"AGO",1991,41.31
"AGO",1992,41.33
"AGO",1993,41.62
"AGO",1994,40.55
"AGO",1995,39.91
"AGO",1996,42.51
"AGO",1997,39.62
"AGO",1998,41.51
"AGO",1999,39.03
"AGO",2000,39.27
"AGO",2001,39.77
"AGO",2002,40.06
"AGO",2003,40.43
"AGO",2004,40.78
"AGO",2005,41.51
"AGO",2006,42.31
"AGO",2007,42.1
"AGO",2008,41.09
"AZE",1993,65.75
"AZE",1994,65.58
"AZE",1995,66.08
"AZE",1996,66.12
"AZE",1997,65.33
"AZE",1998,64.84
"AZE",1999,64.18
"AZE",2000,63.82
"AZE",2001,63.82
"AZE",2002,63.27
"AZE",2003,60.95
"AZE",2004,57.56
"AZE",2005,54.86
"AZE",2006,53.28
"AZE",2007,52
"AZE",2008,51.21
"ARG",1950,29.69
"ARG",1951,29.82
