"iso3c","year","imports","exports","total_trade","trade_balance","imports.perc.gdp.pwt","imports.perc.gdp.gl","exports.perc.gdp.pwt","exports.perc.gdp.gl","total.trade.perc.gdp.pwt","total.trade.perc.gdp.gl","trade.balance.perc.gdp.pwt","trade.balance.perc.gdp.gl","imports.per.capita.un","imports.per.capita.cow","exports.per.capita.un","exports.per.capita.cow","total.trade.per.capita.un","total.trade.per.capita.cow","trade.balance.per.capita.un","trade.balance.per.capita.cow","trade.balance.perc.total.trade"
"USA",1946,5e+09,9.775e+09,1.4775e+10,-4.775e+09,0.0017878149347009,0.00175902826443565,0.00349517819734026,0.00343890025697169,0.00528299313204116,0.00519792852140733,-0.00170736326263936,-0.00167987199253604,NA,35.3634299697996,NA,69.1355055909583,NA,104.498935560758,NA,-33.7720756211586,-0.323181049069374
"USA",1947,5.824e+09,1.5369e+10,2.1193e+10,-9.545e+09,0.00234221750125169,0.002304504065935,0.00618089642457712,0.00608137413965575,0.0085231139258288,0.00838587820559075,-0.00383867892332544,-0.00377687007372074,NA,40.4090864937624,NA,106.635860288914,NA,147.044946782676,NA,-66.2267737951515,-0.450384560939933
"USA",1948,7.71e+09,1.247e+10,2.018e+10,-4.76e+09,0.00312227211329288,0.00307199855529802,0.00504990055159043,0.00496858910305659,0.0081721726648833,0.00804058765835461,-0.00192762843829755,-0.00189659054775857,NA,52.3748709309277,NA,84.7100701048856,NA,137.084941035813,NA,-32.3351991739579,-0.23587710604559
"USA",1949,7.16e+09,1.192e+10,1.908e+10,-4.76e+09,0.00277891347447665,0.002734168537888,0.00462634757203375,0.0045518560016236,0.0074052610465104,0.00728602453951161,-0.0018474340975571,-0.0018176874637356,NA,47.8075944633998,NA,79.5902969278947,NA,127.397891391294,NA,-31.7827024644949,-0.249475890985325
"USA",1950,9.14e+09,1.022e+10,1.936e+10,-1.08e+09,0.00356819843999223,0.00351074475732108,0.00398982363859087,0.00392558111814239,0.0075580220785831,0.00743632587546347,-0.000421625198598644,-0.000414836360821309,56.722623886803,60.0245614726376,63.4250783504515,67.1171792396451,120.147702237254,127.141740712283,-6.70245446364849,-7.09261776700751,-0.0557851239669422
"USA",1951,1.14e+10,1.492e+10,2.632e+10,-3.52e+09,0.00411858730807898,0.00409796555475543,0.00539029145934547,0.00536330228745184,0.00950887876742445,0.00946126784220727,-0.00127170415126649,-0.00126533673269641,69.8409586590536,73.6063223956921,91.405886245007,96.3338886090988,161.246844904061,169.940211004791,-21.5649275859534,-22.7275662134067,-0.133738601823708
"USA",1952,1.122e+10,1.495e+10,2.617e+10,-3.73e+09,0.00389495305365699,0.00390835414277192,0.00518979930055009,0.0052076554754403,0.00908475235420709,0.00911600961821223,-0.0012948462468931,-0.00129930133266838,67.7319456937091,71.2141311177826,90.2488937719208,94.8887041186141,157.98083946563,166.102835236397,-22.5169480782117,-23.6745730008315,-0.142529614061903
"USA",1953,1.146e+10,1.533e+10,2.679e+10,-3.87e+09,0.00379988489134035,0.00382206006489458,0.00508309209286628,0.0051127557412595,0.00888297698420663,0.00893481580615408,-0.00128320720152593,-0.00129069567636492,68.0821738768818,71.542725865255,91.0732744792843,95.7024421914798,159.155448356166,167.245168056735,-22.9911006024025,-24.1597163262248,-0.144456886898096
"USA",1954,1.067e+10,1.469e+10,2.536e+10,-4.02e+09,0.00355800139752093,0.00356289348811059,0.00489850426706489,0.00490523948831721,0.00845650566458582,0.0084681329764278,-0.00134050286954397,-0.00134234600020661,62.3320481364645,65.4496828726706,85.8161000116836,90.1083262792438,148.148148148148,155.558009151914,-23.4840518752191,-24.6586434065732,-0.158517350157729
"USA",1955,1.185e+10,1.541e+10,2.726e+10,-3.56e+09,0.00368877152888467,0.00367215998429679,0.00479695943123314,0.00477535741417836,0.00848573096011781,0.00844751739847515,-0.00110818790234847,-0.00110319742988157,68.0440075336488,71.4152268111444,88.4859203454454,92.869927861581,156.529927879094,164.285154672725,-20.4419128117966,-21.4547010504366,-0.13059427732942
