"iso3c","year","v2x_polyarchy","v2x_libdem","v2x_delibdem","v2x_partipdem","v2x_egaldem","vdem.hl","vdem.hl.sq"
"MEX",1946,0.194,0.095,0.127,0.125,0.091,-1.69444242632373,2.87113513612584
"MEX",1947,0.195,0.095,0.127,0.125,0.097,-1.68208891941425,2.8294231328162
"MEX",1948,0.194,0.094,0.127,0.121,0.097,-1.69356516460196,2.86816296675328
"MEX",1949,0.197,0.095,0.127,0.122,0.098,-1.68337041167474,2.833735942902
"MEX",1950,0.197,0.095,0.128,0.123,0.098,-1.67964781113749,2.82121676945897
"MEX",1951,0.197,0.095,0.128,0.123,0.1,-1.67605219624421,2.80915096453502
"MEX",1952,0.196,0.095,0.128,0.123,0.1,-1.67761885847382,2.814405034307
"MEX",1953,0.196,0.097,0.127,0.123,0.1,-1.67601841614971,2.809037731273
"MEX",1954,0.23,0.106,0.137,0.134,0.109,-1.5526399966019,2.41069095904796
"MEX",1955,0.232,0.106,0.138,0.134,0.108,-1.54965275377419,2.40142365727994
"MEX",1956,0.233,0.107,0.138,0.134,0.109,-1.54466220002832,2.38598131219632
"MEX",1957,0.233,0.107,0.138,0.134,0.109,-1.54466220002832,2.38598131219632
"MEX",1958,0.231,0.105,0.137,0.134,0.108,-1.55449722588855,2.4164616252952
"MEX",1959,0.231,0.105,0.118,0.134,0.11,-1.58228440148275,2.50362392717563
"MEX",1960,0.231,0.106,0.118,0.134,0.114,-1.57346708762656,2.475798675844
"MEX",1961,0.233,0.107,0.118,0.134,0.118,-1.56151644931114,2.43833362146927
"MEX",1962,0.232,0.107,0.118,0.134,0.118,-1.56308311154075,2.44322881358392
"MEX",1963,0.232,0.107,0.118,0.134,0.118,-1.56308311154075,2.44322881358392
"MEX",1964,0.232,0.106,0.119,0.134,0.118,-1.56305746979524,2.44314865388269
"MEX",1965,0.233,0.106,0.119,0.134,0.123,-1.55250177033241,2.41026174688526
"MEX",1966,0.233,0.106,0.119,0.134,0.123,-1.55250177033241,2.41026174688526
"MEX",1967,0.235,0.106,0.119,0.135,0.123,-1.54729757115106,2.39412977368997
"MEX",1968,0.237,0.107,0.12,0.137,0.125,-1.53314907246956,2.35054607841427
"MEX",1969,0.242,0.108,0.121,0.139,0.126,-1.51609839454586,2.29855434194454
"MEX",1970,0.25,0.111,0.125,0.143,0.129,-1.47840302001117,2.18567548957816
"MEX",1971,0.248,0.11,0.124,0.145,0.128,-1.48247021235755,2.19771793052744
