id,mission_acronym,mission_name,lead_department,mission_isactive,start_date,end_date,mission_location,mission_longitude,mission_latitude,last_update
1,UNYOM,United Nations Yemen Observation Mission,DPO,No,1963-07-01,1964-09-01,,,,2024-02-19
10,UNPSG,United Nations Civilian Police Support Group,DPO,No,1997-12-19,1998-10-15,Zagreb,"15,9833","45,8167",2024-02-19
11,UNPROFOR,United Nations Protection Force,DPO,No,1992-02-01,1995-03-01,Zagreb,"15,9833","45,8167",2024-02-19
12,UNPREDEP,United Nations Preventive Deployment Force,DPO,No,1995-03-01,1999-02-01,Skopje,"21,4333","42,0000",2024-02-19
13,UNPF,United Nations Peace Forces,DPO,No,1995-06-12,1996-02-01,Zagreb,"15,9833","45,8167",2024-02-19
14,UNOSOM II,United Nations Operation in Somalia II,DPO,No,1993-03-01,1995-03-01,Mogadishu,"2,0333","45,3500",2024-02-19
15,UNOSOM I,United Nations Operation in Somalia I,DPO,No,1992-04-01,1993-03-01,Mogadishu,"2,0333","45,3500",2024-02-19
16,UNOSOM,United Nations Operation in Somalia (I & II),DPO,No,1992-04-01,1995-03-01,Mogadishu,"45,3500","2,0333",2024-02-19
17,UNOMUR,United Nations Observer Mission Uganda-Rwanda,DPO,No,1993-06-01,1994-09-01,Kabale,"29,9900","-1,2500",2024-02-19
18,UNOMSIL,United Nations Observer Mission in Sierra Leone,DPO,No,1998-07-13,1999-10-22,Freetown,"-13,2344","8,4844",2024-02-19
19,UNOMIL,United Nations Observer Mission in Liberia,DPO,No,1993-09-01,1997-09-01,Monrovia,"-10,8014","6,3133",2024-02-19
2,UNTAET,United Nations Transitional Administration in East Timor,DPO,No,1999-10-01,2002-05-01,Dili,"125,5670","-8,5667",2024-02-19
20,UNOMIG,United Nations Observer Mission in Georgia,DPO,No,1993-08-01,2009-06-01,Sukhumi,"41,0153","43,0033",2024-02-19
21,UNOHCI,United Nations Office of the Humanitarian Coordinator in Iraq,DPO,No,,,Baghdad,"44,4333","33,3333",2024-02-19
22,UNOGIL,United Nations Observation Group in Lebanon,DPO,No,1958-06-01,1958-12-01,,,,2024-02-19
23,UNOCI,United Nations Operation in Côte d’Ivoire,DPO,No,2004-04-04,2017-05-01,Abidjan,"-4,0333","5,3167",2024-02-19
24,UNMOT,United Nations Mission of Observers in Tajikistan,DPO,No,1994-12-01,2000-05-01,Dushanbe,"68,7800","38,5367",2024-02-19
25,UNMOP,United Nations Mission of Observers in Prevlaka,DPO,No,1996-02-01,2002-12-15,Cavtat,"18,2167","42,5667",2024-02-19
26,UNMOGIP,United Nations Military Observer Group in India and Pakistan,DPO,Yes,1949-01-24,,Islamabad (Nov-Apr) and Srinagar (May-Oct) ,"76,3238","33,4593",2024-02-19
27,UNMIT,United Nations Integrated Mission in Timor-Leste,DPO,No,2006-08-01,2012-12-31,Dili,"125,5670","-8,5667",2024-02-19
28,UNMISET,United Nations Mission of Support in East Timor,DPO,No,2002-05-01,2005-05-01,Dili,"125,5670","-8,5667",2024-02-19
29,UNMIS,United Nations Mission in the Sudan,DPO,No,2005-03-01,2011-07-09,Khartoum,"32,5333","15,6333",2024-02-19
3,UNTAES,"United Nations Transitional Administration for Eastern Slavonia, Baranja and Western Sirmium",DPO,No,1996-01-01,1998-01-01,Vukovar,"19,0033","45,3500",2024-02-19
30,UNMIL,United Nations Mission in Liberia,DPO,No,2003-09-01,2018-03-01,Monrovia,"-10,8014","6,3133",2024-02-19
31,UNMIK,United Nations Interim Administration Mission in Kosovo,DPO,Yes,1999-06-10,,Pristina,"21,1667","42,6667",2024-02-19
32,UNMIH,United Nations Mission in Haiti,DPO,No,1993-09-01,1996-06-01,Port-au-Prince,"-72,3333","18,5333",2024-02-19
33,UNMIBH,United Nations Mission in Bosnia and Herzegovina,DPO,No,1995-12-01,2002-12-01,Sarajevo,"18,4167","43,8667",2024-02-19
