ccode,location,conflictid,episodenum,activity,incomp,date,year,missionid,mission,org,onlypolice,SIPRI_troops,SIPRI_police,SIPRI_observers,SIPRI_totals,troops_iepo,police_iepo,observers_iepo,totals_iepo,troops_ipo,police_ipo,observers_ipo,totals_ipo,IPI_troops,IPI_police,IPI_observers,IPI_totals,troops_backward,police_backward,observers_backward,totals_backward
90,Guatemala,233,23304,0,2,1997m1,1997,90050,MINUGUA,1,0,,,,,0,51,20,71,,,,,,,,,0,51,20,71
90,Guatemala,233,23304,0,2,1997m2,1997,90050,MINUGUA,1,0,,,,,0,51,20,71,,,,,0,42,149,191,0,51,20,71
90,Guatemala,233,23304,0,2,1997m3,1997,90050,MINUGUA,1,0,,,,,0,51,20,71,,,,,0,40,142,182,0,51,20,71
90,Guatemala,233,23304,0,2,1997m4,1997,90050,MINUGUA,1,0,,,,,0,51,20,71,,,,,0,33,145,178,0,51,20,71
90,Guatemala,233,23304,0,2,1997m5,1997,90050,MINUGUA,1,0,,,,,0,51,20,71,,,,,,,,,0,51,20,71
90,Guatemala,233,23304,0,2,1997m6,1997,90050,MINUGUA,1,0,,,,,0,51,20,71,,,,,,,,,0,51,20,71
90,Guatemala,233,23304,0,2,1997m7,1997,90050,MINUGUA,1,0,,,,,0,51,20,71,,,,,,,,,0,51,20,71
90,Guatemala,233,23304,0,2,1997m8,1997,90050,MINUGUA,1,0,,,,,0,51,20,71,,,,,,,,,0,51,20,71
90,Guatemala,233,23304,0,2,1997m9,1997,90050,MINUGUA,1,0,,,,,0,51,20,71,,,,,,,,,0,51,20,71
90,Guatemala,233,23304,0,2,1997m10,1997,90050,MINUGUA,1,0,,,,,0,51,20,71,,,,,,,,,0,51,20,71
90,Guatemala,233,23304,0,2,1997m11,1997,90050,MINUGUA,1,0,,,,,0,51,20,71,,,,,,,,,0,51,20,71
90,Guatemala,233,23304,0,2,1997m12,1997,90050,MINUGUA,1,0,0,51,20,71,0,51,20,71,0,51,20,71,,,,,0,51,20,71
90,Guatemala,233,23304,0,2,1998m1,1998,90050,MINUGUA,1,0,,,,,0,51,20,71,0,51,20,71,,,,,0,51,20,71
90,Guatemala,233,23304,0,2,1998m2,1998,90050,MINUGUA,1,0,,,,,0,51,20,71,0,51,20,71,,,,,0,51,20,71
90,Guatemala,233,23304,0,2,1998m3,1998,90050,MINUGUA,1,0,,,,,0,51,20,71,0,51,20,71,,,,,0,51,20,71
90,Guatemala,233,23304,0,2,1998m4,1998,90050,MINUGUA,1,0,,,,,0,51,20,71,0,51,20,71,,,,,0,51,20,71
90,Guatemala,233,23304,0,2,1998m5,1998,90050,MINUGUA,1,0,,,,,0,51,20,71,0,51,20,71,,,,,0,51,20,71
90,Guatemala,233,23304,0,2,1998m6,1998,90050,MINUGUA,1,0,,,,,0,51,20,71,0,51,20,71,,,,,0,51,20,71
